OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"94084","0","1","Joey Gonzalez","",AUS,"1441.846","0.4","17549.857","0","584",Bot,"Bot7147","1202","Gold 3","1202","Gold 3","","","",""
"94084","0","2","Milos Volny","",SRB,"1441.445","0","17549.857","0","536",Bot,"Bot7291","1079","Gold 1","1078","Gold 1","","","",""
"94084","0","3","Arseni Košarac","",CRO,"1465.467","24.021","17549.857","0","536",Bot,"Bot3376","1115","Gold 2","1113","Gold 2","","","",""
"94084","0","4","Bunothyan San","Aria Olefson",CAM,"1470.714","29.268","17549.857","0","500",Bot,"Bot6128","1114","Gold 2","1113","Gold 2","","","",""
"94084","0","5","Benjamin Dudás","",HUN,"1467.695","26.249","17549.857","0","496",Bot,"Bot7466","1105","Gold 2","1104","Gold 2","","","",""
"94084","0","6","Anthony Lewis","",JAM,"1467.807","26.361","17549.857","0","496",Bot,"Bot2193","1048","Gold 1","1048","Gold 1","","","",""
"94084","0","7","Sungmin Choe","Windsail",KOR,"1470.317","28.871","17549.857","0","495",Bot,"Bot3823","973","Silver 3","974","Silver 3","","","",""
"94084","0","8","Arthur Desmet","Aguda",BEL,"1470.189","28.743","17549.857","0","493",Bot,"Bot5133","931","Silver 3","931","Silver 3","","","",""
"94084","0","9","Nicolas Pires","",BRA,"1472.098","30.652","17549.857","0","467",Bot,"Bot3347","896","Silver 2","895","Silver 2","","","",""
"94084","0","10","Paul Person","AMO Solutions",GBR,"1469.747","28.301","17549.857","0","458",Bot,"Bot8539","868","Silver 2","867","Silver 2","","","",""
"94084","0","11","Tiyamike Kasiya","",MAW,"1470.081","28.635","17549.857","0","446",Bot,"Bot2873","1000","Gold 1","1000","Gold 1","","","",""
"94084","0","12","Raymond Benoit","",FRA,"1521.49","80.044","17549.857","0","408",Bot,"Bot3855","1089","Gold 1","1088","Gold 1","","","",""
"94084","0","13","Nicolo D'Amico","",ITA,"1526.079","84.633","17549.857","0","394",Bot,"Bot4751","829","Silver 2","829","Silver 2","","","",""
"94084","0","14","Said Olimov","",TJK,"1528.263","86.817","17549.857","0","376",Bot,"Bot1462","811","Silver 2","811","Silver 2","","","",""
"94084","0","15","Lorenzo Roldan","",ARG,"1522.795","81.349","17549.857","0","374",Bot,"Bot5561","924","Silver 3","923","Silver 3","","","",""
"94084","0","16","Mario Moreno","Delta",MEX,"1526.171","84.725","17549.857","0","374",Bot,"Bot4821","908","Silver 3","908","Silver 3","","","",""
"94084","0","17","Luciano Cavallo","Nuvio",ITA,"1524.151","82.705","17549.857","0","371",Bot,"Bot6906","992","Silver 3","991","Silver 3","","","",""
"94084","0","18","Willie Berg","Patriot",RSA,"1522.343","80.897","17549.857","0","367",Bot,"Bot9308","824","Silver 2","823","Silver 2","","","",""
"94084","0","19","Raymundo Washington","",AUS,"1521.992","80.546","17549.857","0","365",Bot,"Bot8884","809","Silver 2","809","Silver 2","","","",""
"94084","0","20","William Samuelu","Patriot",ASA,"1527.725","86.279","17549.857","0","348",Bot,"Bot4008","1041","Gold 1","1040","Gold 1","","","",""
"94084","0","21","Rocco Negri","",ITA,"1522.469","81.023","17549.857","0","343",Bot,"Bot198","1024","Gold 1","1024","Gold 1","","","",""
"94084","0","22","Germain Dionne","AI Thunder",CAN,"1524.101","82.655","17549.857","0","343",Bot,"Bot4700","976","Silver 3","975","Silver 3","","","",""
"94084","0","23","Riley Paterson","Nuvio",SCO,"1582.068","140.622","17549.857","0","273",Bot,"Bot4206","822","Silver 2","822","Silver 2","","","",""
"94084","0","24","Olga Hester","",AUS,"1581.441","139.995","17549.857","0","264",Bot,"Bot8072","849","Silver 2","848","Silver 2","","","",""
"94084","0","25","Laura Lara","",ESP,"1582.05","140.604","17549.857","0","263",Bot,"Bot9976","834","Silver 2","833","Silver 2","","","",""
"94084","0","26","Ulpu Toivonen","Windsail",FIN,"1581.904","140.458","17549.857","0","237",Bot,"Bot123","831","Silver 2","831","Silver 2","","","",""
"94084","0","27","Millie Baker","",WAL,"1582.189","140.743","17549.857","0","230",Bot,"Bot2066","806","Silver 2","805","Silver 2","","","",""
"94084","0","28","Yuanling Ngiam","Patriot",CHN,"1581.719","140.273","17549.857","0","215",Bot,"Bot3708","910","Silver 3","909","Silver 3","","","",""
"94084","0","29","Sandra Ström","Fable",SWE,"1582.398","140.952","17549.857","0","211",Bot,"Bot9910","863","Silver 2","862","Silver 2","","","",""
"94084","0","30","Jade Gérard","Delta",BEL,"1582.012","140.566","17549.857","0","205",Bot,"Bot4621","898","Silver 2","896","Silver 2","","","",""
"94084","0","31","Giuliana Venturi","",ITA,"1628.85","187.404","17549.857","0","140",Bot,"Bot1770","803","Silver 2","802","Silver 2","","","",""
"94084","0","32","Conrad Snow","",AUS,"1638.029","196.583","17549.857","0","137",Bot,"Bot5573","811","Silver 2","810","Silver 2","","","",""
"94084","0","33","Jacqueline Williams","",JAM,"1649.095","207.649","17549.857","0","125",Bot,"Bot9179","813","Silver 2","812","Silver 2","","","",""
"94084","0","34","Julien Helleputte","Riders Givrés du Trainer",BEL,"1690.567","249.121","17549.857","0","103",Male,"5F2EDC06F34578B8","200","Bronze 1","1003","Gold 1","35-39","","",""
"94084","0","35","Ingrid Lundin","",SWE,"1752.687","311.241","17549.857","0","97",Bot,"Bot9082","819","Silver 2","818","Silver 2","","","",""
"94084","0","36","Elian Albrecht","Delta",GER,"1732.336","290.89","17549.857","0","74",Bot,"Bot7521","1037","Gold 1","1036","Gold 1","","","",""
"94084","0","37","Michael Deireragea","eVOX",NRU,"1772.039","330.593","17549.857","0","60",Bot,"Bot5305","808","Silver 2","806","Silver 2","","","",""
"94084","0","38","Salvador Morales","Titans",MEX,"1883.774","442.328","17549.857","0","49",Bot,"Bot1730","860","Silver 2","859","Silver 2","","","",""
"94084","0","39","Guy Mercier","",FRA,"1933.582","492.136","17549.857","0","32",Bot,"Bot4351","787","Silver 1","785","Silver 1","","","",""




INTERMEDIATE LOCATION RESULTS:

EventKey,Pen,Location,Position,Name,Team,Country,Time,DeltaTime,Points,UID
"94084","0","1","1","William Samuelu","Patriot",ASA,"105.943","0","40","Bot4008"
"94084","0","1","2","Mario Moreno","Delta",MEX,"106.118","0.174","39","Bot4821"
"94084","0","1","3","Joey Gonzalez","",AUS,"108.62","2.676","38","Bot7147"
"94084","0","1","4","Benjamin Dudás","",HUN,"108.714","2.77","37","Bot7466"
"94084","0","1","5","Raymond Benoit","",FRA,"109.315","3.371","36","Bot3855"
"94084","0","1","6","Riley Paterson","Nuvio",SCO,"109.488","3.544","35","Bot4206"
"94084","0","1","7","Bunothyan San","Aria Olefson",CAM,"109.492","3.548","34","Bot6128"
"94084","0","1","8","Laura Lara","",ESP,"109.539","3.595","33","Bot9976"
"94084","0","1","9","Sungmin Choe","Windsail",KOR,"110.112","4.168","32","Bot3823"
"94084","0","1","10","Nicolo D'Amico","",ITA,"110.375","4.431","31","Bot4751"
"94084","0","1","11","Willie Berg","Patriot",RSA,"110.59","4.646","30","Bot9308"
"94084","0","1","12","Olga Hester","",AUS,"110.774","4.83","29","Bot8072"
"94084","0","1","13","Raymundo Washington","",AUS,"110.948","5.004","28","Bot8884"
"94084","0","1","14","Lorenzo Roldan","",ARG,"111.011","5.067","27","Bot5561"
"94084","0","1","15","Millie Baker","",WAL,"111.123","5.179","26","Bot2066"
"94084","0","1","16","Luciano Cavallo","Nuvio",ITA,"111.123","5.179","25","Bot6906"
"94084","0","1","17","Jade Gérard","Delta",BEL,"111.396","5.453","24","Bot4621"
"94084","0","1","18","Anthony Lewis","",JAM,"111.421","5.477","23","Bot2193"
"94084","0","1","19","Ulpu Toivonen","Windsail",FIN,"111.667","5.724","22","Bot123"
"94084","0","1","20","Rocco Negri","",ITA,"112.031","6.087","21","Bot198"
"94084","0","1","21","Germain Dionne","AI Thunder",CAN,"112.129","6.185","20","Bot4700"
"94084","0","1","22","Yuanling Ngiam","Patriot",CHN,"112.156","6.213","19","Bot3708"
"94084","0","1","23","Sandra Ström","Fable",SWE,"112.293","6.349","18","Bot9910"
"94084","0","1","24","Ingrid Lundin","",SWE,"113.82","7.876","17","Bot9082"
"94084","0","1","25","Arseni Košarac","",CRO,"114.14","8.196","16","Bot3376"
"94084","0","1","26","Said Olimov","",TJK,"114.355","8.411","15","Bot1462"
"94084","0","1","27","Paul Person","AMO Solutions",GBR,"114.355","8.411","14","Bot8539"
"94084","0","1","28","Arthur Desmet","Aguda",BEL,"114.595","8.652","13","Bot5133"
"94084","0","1","29","Tiyamike Kasiya","",MAW,"114.815","8.871","12","Bot2873"
"94084","0","1","30","Milos Volny","",SRB,"116.031","10.087","11","Bot7291"
"94084","0","1","31","Nicolas Pires","",BRA,"116.62","10.677","10","Bot3347"
"94084","0","1","32","Conrad Snow","",AUS,"116.807","10.863","9","Bot5573"
"94084","0","1","33","Jacqueline Williams","",JAM,"116.84","10.896","8","Bot9179"
"94084","0","1","34","Giuliana Venturi","",ITA,"117.513","11.569","7","Bot1770"
"94084","0","1","35","Julien Helleputte","Riders Givrés du Trainer",BEL,"119.304","13.36","6","5F2EDC06F34578B8"
"94084","0","1","36","Salvador Morales","Titans",MEX,"132.72","26.776","5","Bot1730"
"94084","0","1","37","Elian Albrecht","Delta",GER,"139.143","33.199","4","Bot7521"
"94084","0","1","38","Michael Deireragea","eVOX",NRU,"141.267","35.323","3","Bot5305"
"94084","0","1","39","Guy Mercier","",FRA,"141.831","35.887","2","Bot4351"
"94084","0","2","1","Joey Gonzalez","",AUS,"208.419","0","40","Bot7147"
"94084","0","2","2","Benjamin Dudás","",HUN,"208.481","0.062","39","Bot7466"
"94084","0","2","3","Anthony Lewis","",JAM,"209.162","0.743","38","Bot2193"
"94084","0","2","4","Raymond Benoit","",FRA,"209.471","1.052","37","Bot3855"
"94084","0","2","5","Lorenzo Roldan","",ARG,"209.855","1.436","36","Bot5561"
"94084","0","2","6","Sungmin Choe","Windsail",KOR,"209.907","1.488","35","Bot3823"
"94084","0","2","7","Willie Berg","Patriot",RSA,"210.168","1.749","34","Bot9308"
"94084","0","2","8","Bunothyan San","Aria Olefson",CAM,"210.172","1.753","33","Bot6128"
"94084","0","2","9","Nicolo D'Amico","",ITA,"210.483","2.064","32","Bot4751"
"94084","0","2","10","Luciano Cavallo","Nuvio",ITA,"210.622","2.203","31","Bot6906"
"94084","0","2","11","Raymundo Washington","",AUS,"211.07","2.651","30","Bot8884"
"94084","0","2","12","Rocco Negri","",ITA,"211.563","3.144","29","Bot198"
"94084","0","2","13","Germain Dionne","AI Thunder",CAN,"211.616","3.197","28","Bot4700"
"94084","0","2","14","Laura Lara","",ESP,"211.992","3.573","27","Bot9976"
"94084","0","2","15","Riley Paterson","Nuvio",SCO,"212.43","4.011","26","Bot4206"
"94084","0","2","16","Yuanling Ngiam","Patriot",CHN,"212.571","4.152","25","Bot3708"
"94084","0","2","17","Olga Hester","",AUS,"213.11","4.691","24","Bot8072"
"94084","0","2","18","Sandra Ström","Fable",SWE,"213.263","4.844","23","Bot9910"
"94084","0","2","19","Millie Baker","",WAL,"213.283","4.864","22","Bot2066"
"94084","0","2","20","Jade Gérard","Delta",BEL,"213.37","4.951","21","Bot4621"
"94084","0","2","21","Mario Moreno","Delta",MEX,"214.001","5.582","20","Bot4821"
"94084","0","2","22","Arseni Košarac","",CRO,"214.086","5.667","19","Bot3376"
"94084","0","2","23","William Samuelu","Patriot",ASA,"214.181","5.762","18","Bot4008"
"94084","0","2","24","Milos Volny","",SRB,"214.439","6.02","17","Bot7291"
"94084","0","2","25","Ulpu Toivonen","Windsail",FIN,"214.44","6.021","16","Bot123"
"94084","0","2","26","Paul Person","AMO Solutions",GBR,"214.627","6.208","15","Bot8539"
"94084","0","2","27","Arthur Desmet","Aguda",BEL,"214.794","6.375","14","Bot5133"
"94084","0","2","28","Tiyamike Kasiya","",MAW,"215.183","6.764","13","Bot2873"
"94084","0","2","29","Said Olimov","",TJK,"215.374","6.955","12","Bot1462"
"94084","0","2","30","Nicolas Pires","",BRA,"215.692","7.273","11","Bot3347"
"94084","0","2","31","Conrad Snow","",AUS,"219.846","11.427","10","Bot5573"
"94084","0","2","32","Giuliana Venturi","",ITA,"220.005","11.586","9","Bot1770"
