OVERALL INDIVIDUAL RESULTS:

"EventKey","Pen","Position","Name","Team","Country","Time","DeltaTime","Distance","DeltaDistance","Points","Gender","UID","ARR","ARRBand","EventRating","EventRatingBand","AgeBand","NGB","NGB ID","UCI ID"
"888613","2","1","James Wilson","","GBR","1800.000","0","19800.000","0","0","Male","212354980F57BA1B","1102","Gold 3","1102","Gold 3","40-44","British Cycling","1652049","10116817585"
"888613","2","2","Morgan Taylor","","NED","1803.442","3.442","19800.000","0","0","Bot","Bot9926","1169","Gold 3","1169","Gold 3","","","",""
"888613","2","3","Ava Walker","","SCO","1804.545","4.545","19800.000","0","0","Bot","Bot6344","909","Gold 1","909","Gold 1","","","",""
"888613","2","4","Sam King","","CAN","1805.167","5.167","19800.000","0","0","Bot","Bot5532","972","Gold 1","972","Gold 1","","","",""
"888613","2","5","Daniel Anderson","Zonkify","NZL","1812.177","12.177","19800.000","0","0","Bot","Bot1828","1118","Gold 3","1118","Gold 3","","","",""
"888613","2","6","Evelyn Young","","NZL","1812.188","12.188","19800.000","0","0","Bot","Bot1481","1175","Gold 3","1175","Gold 3","","","",""
"888613","2","7","Taylor Thomas","","MEX","1815.280","15.280","19800.000","0","0","Bot","Bot177","1205","Platinum 1","1205","Platinum 1","","","",""
"888613","2","8","Lucas Smith","","GBR","1818.292","18.292","19800.000","0","0","Bot","Bot2850","1195","Gold 3","1195","Gold 3","","","",""
"888613","2","9","Evelyn Robinson","Chaos","USA","1812.979","12.979","19800.000","0","0","Bot","Bot7763","1111","Gold 3","1111","Gold 3","","","",""
"888613","2","10","Benjamin Johnson","","AUS","1829.684","29.684","19800.000","0","0","Bot","Bot9187","1194","Gold 3","1194","Gold 3","","","",""
"888613","2","11","Morgan Johnson","","ENG","1830.319","30.319","19800.000","0","0","Bot","Bot1229","1135","Gold 3","1135","Gold 3","","","",""
"888613","2","12","Morgan White","Hinal","FRA","1828.331","28.331","19800.000","0","0","Bot","Bot8170","1155","Gold 3","1155","Gold 3","","","",""
"888613","2","13","Riley Smith","","ENG","1825.230","25.230","19800.000","0","0","Bot","Bot5458","1004","Gold 2","1004","Gold 2","","","",""
"888613","2","14","Taylor Smith","","NZL","1842.896","42.896","19800.000","0","0","Bot","Bot588","991","Gold 1","991","Gold 1","","","",""
