OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"93034","1","1","Themba Mthethwa","HCOM",SWZ,"2885.952","0","36521.41","0","0",Bot,"Bot3901","1231","Gold 3","1240","Gold 3","","","",""
"93034","1","2","Timo Neumann","",GER,"2886.985","1.033","36521.41","0","0",Bot,"Bot2465","1133","Gold 2","1141","Gold 2","","","",""
"93034","1","3","Jamie Bishop","Newhall.cc",GBR,"2887.213","1.26","36521.41","0","0",Male,"F03D3F7331D34D18","1183","Gold 2","1228","Gold 3","50-54","","",""
"93034","1","4","Nathan De","",BEL,"2887.214","1.262","36521.41","0","0",Bot,"Bot8791","1196","Gold 2","1223","Gold 3","","","",""
"93034","1","5","Brody Brown","Fujikai",IRL,"2888.486","2.534","36521.41","0","0",Bot,"Bot713","1179","Gold 2","1216","Gold 3","","","",""
"93034","1","6","Goran Ješić","Orbit",SVK,"2888.74","2.787","36521.41","0","0",Bot,"Bot9803","1206","Gold 3","1204","Gold 3","","","",""
"93034","1","7","David Almeida","Patriot",POR,"2888.951","2.999","36521.41","0","0",Bot,"Bot3308","1259","Gold 3","1296","Gold 3","","","",""
"93034","1","8","Forrest Beck","",AUS,"2889.224","3.272","36521.41","0","0",Bot,"Bot8843","1301","Platinum 1","1340","Platinum 1","","","",""
"93034","1","9","Dobroslav Bilous","Zonkify",SVK,"2889.466","3.514","36521.41","0","0",Bot,"Bot3609","1177","Gold 2","1200","Gold 3","","","",""
"93034","1","10","Ramon Miles","",GBR,"2889.474","3.522","36521.41","0","0",Bot,"Bot2262","1202","Gold 3","1193","Gold 2","","","",""
"93034","1","11","Alex Dorsey","",ENG,"2889.719","3.767","36521.41","0","0",Bot,"Bot2341","1190","Gold 2","1205","Gold 3","","","",""
"93034","1","12","Juan Cervantes","Monova",MEX,"2889.962","4.01","36521.41","0","0",Bot,"Bot1219","1180","Gold 2","1219","Gold 3","","","",""
"93034","1","13","Eirik Strand","",NOR,"2889.988","4.035","36521.41","0","0",Bot,"Bot7863","1213","Gold 3","1215","Gold 3","","","",""
"93034","1","14","Deo Nsengiyumva","HCOM",BDI,"2890.2","4.248","36521.41","0","0",Bot,"Bot9901","1268","Gold 3","1243","Gold 3","","","",""
"93034","1","15","Stepan Yshchenko","Monova",UKR,"2890.241","4.288","36521.41","0","0",Bot,"Bot9019","1144","Gold 2","1148","Gold 2","","","",""
"93034","1","16","Miguel Bedoya","Ampex",COL,"2910.238","24.285","36521.41","0","0",Bot,"Bot3314","1266","Gold 3","1310","Platinum 1","","","",""
"93034","1","17","Hassan Al-Khatib","",SYR,"2910.492","24.54","36521.41","0","0",Bot,"Bot3077","1401","Platinum 2","1424","Platinum 2","","","",""
"93034","1","18","Max Roman","Aguda",GBR,"2910.738","24.786","36521.41","0","0",Bot,"Bot9633","1368","Platinum 1","1398","Platinum 1","","","",""
"93034","1","19","Edgars Krūmiņš","",LAT,"2910.74","24.788","36521.41","0","0",Bot,"Bot1154","1361","Platinum 1","1387","Platinum 1","","","",""
"93034","1","20","Arthur Le Gros","",JEY,"2917.721","31.769","36521.41","0","0",Bot,"Bot3358","1355","Platinum 1","1393","Platinum 1","","","",""
"93034","1","21","Stephan Kaiser","",GER,"2922.747","36.795","36521.41","0","0",Bot,"Bot1548","1256","Gold 3","1245","Gold 3","","","",""
"93034","1","22","Felix Hurst","",USA,"2922.983","37.03","36521.41","0","0",Bot,"Bot3689","1233","Gold 3","1220","Gold 3","","","",""
"93034","1","23","Adam Mizzi","Kumori",MLT,"2923.215","37.263","36521.41","0","0",Bot,"Bot3340","1275","Gold 3","1249","Gold 3","","","",""
"93034","1","24","David Abad","",ESP,"2923.458","37.506","36521.41","0","0",Bot,"Bot3369","1279","Gold 3","1305","Platinum 1","","","",""
"93034","1","25","Salem Patel","Zonkify",UAE,"2923.496","37.544","36521.41","0","0",Bot,"Bot7809","1135","Gold 2","1142","Gold 2","","","",""
"93034","1","26","Nicolas Jung","",LUX,"2923.71","37.758","36521.41","0","0",Bot,"Bot9875","1154","Gold 2","1140","Gold 2","","","",""
"93034","1","27","Hannu Lehtinen","",FIN,"2924.218","38.265","36521.41","0","0",Bot,"Bot7785","1140","Gold 2","1149","Gold 2","","","",""
"93034","1","28","Mārtiņš Eglītis","",LAT,"2924.488","38.536","36521.41","0","0",Bot,"Bot356","1176","Gold 2","1147","Gold 2","","","",""
"93034","1","29","Leandro Fabbri","AMO Solutions",ITA,"2924.989","39.037","36521.41","0","0",Bot,"Bot9139","1220","Gold 3","1217","Gold 3","","","",""
"93034","1","30","Emil Jørgensen","Fujikai",DEN,"2926.202","40.25","36521.41","0","0",Bot,"Bot4013","1163","Gold 2","1189","Gold 2","","","",""
"93034","1","31","Lourdes Proctor","",AUS,"2927.735","41.782","36521.41","0","0",Bot,"Bot3577","1173","Gold 2","1151","Gold 2","","","",""
"93034","1","32","Thad Franklin","",USA,"2927.739","41.786","36521.41","0","0",Bot,"Bot5574","1219","Gold 3","1183","Gold 2","","","",""
"93034","1","33","Sergio Martin","Dashix",ESP,"2927.749","41.797","36521.41","0","0",Bot,"Bot7911","1276","Gold 3","1303","Platinum 1","","","",""
"93034","1","34","Jun’ichi Okada","",JPN,"2927.999","42.047","36521.41","0","0",Bot,"Bot9646","1219","Gold 3","1247","Gold 3","","","",""
"93034","1","35","Bhargava Rai","Zonkify",IND,"2928.961","43.009","36521.41","0","0",Bot,"Bot8609","1177","Gold 2","1214","Gold 3","","","",""
"93034","1","36","Joaquin Perez","Delta",ESP,"2929.478","43.526","36521.41","0","0",Bot,"Bot6821","1200","Gold 3","1213","Gold 3","","","",""
"93034","1","37","Malong Thon","Eckleson",SSD,"2930.242","44.289","36521.41","0","0",Bot,"Bot5727","1134","Gold 2","1139","Gold 2","","","",""
"93034","1","38","Elvis Noble","Pioma",NZL,"2930.461","44.509","36521.41","0","0",Bot,"Bot4038","1236","Gold 3","1217","Gold 3","","","",""
"93034","1","39","Igor Dadić","",SVK,"2930.952","44.999","36521.41","0","0",Bot,"Bot6974","1228","Gold 3","1208","Gold 3","","","",""
