OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"93339","1","1","James Eastwood","Chaos",GBR,"731.346","0","9783.035","0","19",Male,"212354980F57BA1B","1200","Gold 3","1195","Gold 2","40-44","British Cycling","1652049","10116817585"
"93339","1","2","Philipp Winkler","Systech",GER,"688.631","0.754","9268.138","0","18",Bot,"Bot7804","1153","Gold 2","1177","Gold 2","","","",""
"93339","1","3","Jackie Ventura","",USA,"649.682","0.492","8753.242","0","17",Bot,"Bot9245","1242","Gold 3","1245","Gold 3","","","",""
"93339","1","4","Thad Daugherty","",AUS,"611.667","0.788","8238.345","0","16",Bot,"Bot8657","1188","Gold 2","1187","Gold 2","","","",""
"93339","1","5","Heiko Lang","",AUT,"573.424","0.607","7723.449","0","15",Bot,"Bot3196","1155","Gold 2","1176","Gold 2","","","",""
"93339","1","6","Arjan Hendriks","",NED,"533.352","0.354","7208.552","0","14",Bot,"Bot9653","1066","Gold 1","1061","Gold 1","","","",""
"93339","1","7","Emanuel Stephenson","Optech",USA,"493.073","0.543","6693.655","0","13",Bot,"Bot8418","1009","Gold 1","1005","Gold 1","","","",""
"93339","1","8","Allan Plante","",CAN,"452.853","0.639","6178.759","0","12",Bot,"Bot8997","983","Silver 3","995","Silver 3","","","",""
"93339","1","9","Daisuke Yamashita","",JPN,"412.986","0.724","5663.862","0","11",Bot,"Bot4559","1083","Gold 1","1067","Gold 1","","","",""
"93339","1","10","Dzifa Ayih","Titans",TOG,"373.242","0.54","5148.965","0","10",Bot,"Bot4730","1005","Gold 1","1003","Gold 1","","","",""
"93339","1","11","Théo Simon","",LUX,"334.179","0.45","4634.069","0","9",Bot,"Bot4181","991","Silver 3","965","Silver 3","","","",""
"93339","1","12","Richard Kramer","",NED,"298.413","4.951","4119.172","0","8",Bot,"Bot4750","1266","Gold 3","1268","Gold 3","","","",""
"93339","1","13","Ken Ueta","Windsail",JPN,"259.059","5.735","3604.276","0","7",Bot,"Bot8123","1084","Gold 1","1091","Gold 1","","","",""
"93339","1","14","Henry Walsh","",CAN,"221.832","8.606","3089.379","0","6",Bot,"Bot9365","1144","Gold 2","1144","Gold 2","","","",""
"93339","1","15","Ivanka Pjanić","",CRO,"187.75","13.278","2574.482","0","5",Bot,"Bot7587","994","Silver 3","995","Silver 3","","","",""
"93339","1","16","Kareem Dorsey","Eckleson",GBR,"149.04","8.514","2059.586","0","4",Bot,"Bot6427","1036","Gold 1","1036","Gold 1","","","",""
"93339","1","17","Augusto Pereira","",BRA,"116.08","5.449","1544.689","0","3",Bot,"Bot2297","1088","Gold 1","1070","Gold 1","","","",""
"93339","1","18","Freddie Gillespie","",RSA,"82.745","1.987","1029.793","0","2",Bot,"Bot2377","1060","Gold 1","1040","Gold 1","","","",""
"93339","1","19","Dean Dupuis","",CAN,"47.253","0.898","514.896","0","1",Bot,"Bot3698","1138","Gold 2","1099","Gold 1","","","",""




INTERMEDIATE LOCATION RESULTS:

EventKey,Pen,Location,Position,Name,Team,Country,Time,DeltaTime,Points,UID
"93339","1","1","1","Jackie Ventura","",USA,"46.354","0","1","Bot9245"
"93339","1","1","2","James Eastwood","Chaos",GBR,"46.557","0.202","1","212354980F57BA1B"
"93339","1","1","3","Emanuel Stephenson","Optech",USA,"46.607","0.252","1","Bot8418"
"93339","1","1","4","Ivanka Pjanić","",CRO,"46.666","0.311","1","Bot7587"
"93339","1","1","5","Richard Kramer","",NED,"46.668","0.313","1","Bot4750"
"93339","1","1","6","Thad Daugherty","",AUS,"46.7","0.345","1","Bot8657"
"93339","1","1","7","Philipp Winkler","Systech",GER,"46.718","0.363","1","Bot7804"
"93339","1","1","8","Kareem Dorsey","Eckleson",GBR,"46.763","0.408","1","Bot6427"
"93339","1","1","9","Heiko Lang","",AUT,"46.778","0.424","1","Bot3196"
"93339","1","1","10","Allan Plante","",CAN,"46.779","0.424","1","Bot8997"
"93339","1","1","11","Dzifa Ayih","Titans",TOG,"46.884","0.53","1","Bot4730"
"93339","1","1","12","Ken Ueta","Windsail",JPN,"46.909","0.554","1","Bot8123"
"93339","1","1","13","Henry Walsh","",CAN,"46.91","0.556","1","Bot9365"
"93339","1","1","14","Augusto Pereira","",BRA,"46.98","0.625","1","Bot2297"
"93339","1","1","15","Freddie Gillespie","",RSA,"46.991","0.636","1","Bot2377"
"93339","1","1","16","Arjan Hendriks","",NED,"47.055","0.7","1","Bot9653"
"93339","1","1","17","Théo Simon","",LUX,"47.097","0.742","1","Bot4181"
"93339","1","1","18","Daisuke Yamashita","",JPN,"47.231","0.877","1","Bot4559"
"93339","1","1","19","Dean Dupuis","",CAN,"47.253","0.898","1","Bot3698"
"93339","1","2","1","Allan Plante","",CAN,"80.758","0","1","Bot8997"
"93339","1","2","2","Emanuel Stephenson","Optech",USA,"80.79","0.032","1","Bot8418"
"93339","1","2","3","Henry Walsh","",CAN,"80.865","0.107","1","Bot9365"
"93339","1","2","4","Théo Simon","",LUX,"80.886","0.128","1","Bot4181"
"93339","1","2","5","Richard Kramer","",NED,"80.917","0.159","1","Bot4750"
"93339","1","2","6","Daisuke Yamashita","",JPN,"81.036","0.278","1","Bot4559"
"93339","1","2","7","Thad Daugherty","",AUS,"81.052","0.294","1","Bot8657"
"93339","1","2","8","Dzifa Ayih","Titans",TOG,"81.064","0.306","1","Bot4730"
"93339","1","2","9","Jackie Ventura","",USA,"81.094","0.336","1","Bot9245"
"93339","1","2","10","Ivanka Pjanić","",CRO,"81.123","0.365","1","Bot7587"
"93339","1","2","11","Arjan Hendriks","",NED,"81.25","0.492","1","Bot9653"
"93339","1","2","12","Heiko Lang","",AUT,"81.337","0.579","1","Bot3196"
"93339","1","2","13","James Eastwood","Chaos",GBR,"81.474","0.716","1","212354980F57BA1B"
"93339","1","2","14","Philipp Winkler","Systech",GER,"82.14","1.382","1","Bot7804"
"93339","1","2","15","Ken Ueta","Windsail",JPN,"82.157","1.399","1","Bot8123"
"93339","1","2","16","Kareem Dorsey","Eckleson",GBR,"82.292","1.534","1","Bot6427"
"93339","1","2","17","Augusto Pereira","",BRA,"82.578","1.82","1","Bot2297"
"93339","1","2","18","Freddie Gillespie","",RSA,"82.745","1.987","1","Bot2377"
"93339","1","3","1","Thad Daugherty","",AUS,"110.63","0","1","Bot8657"
"93339","1","3","2","Allan Plante","",CAN,"110.968","0.338","1","Bot8997"
"93339","1","3","3","Jackie Ventura","",USA,"111.199","0.569","1","Bot9245"
"93339","1","3","4","Heiko Lang","",AUT,"111.24","0.61","1","Bot3196"
"93339","1","3","5","Philipp Winkler","Systech",GER,"111.426","0.796","1","Bot7804"
"93339","1","3","6","Emanuel Stephenson","Optech",USA,"111.584","0.954","1","Bot8418"
"93339","1","3","7","Henry Walsh","",CAN,"111.859","1.229","1","Bot9365"
"93339","1","3","8","Dzifa Ayih","Titans",TOG,"111.922","1.291","1","Bot4730"
"93339","1","3","9","Théo Simon","",LUX,"112.009","1.378","1","Bot4181"
"93339","1","3","10","Arjan Hendriks","",NED,"112.333","1.703","1","Bot9653"
"93339","1","3","11","Daisuke Yamashita","",JPN,"112.373","1.743","1","Bot4559"
"93339","1","3","12","James Eastwood","Chaos",GBR,"112.382","1.751","1","212354980F57BA1B"
"93339","1","3","13","Ivanka Pjanić","",CRO,"112.669","2.038","1","Bot7587"
"93339","1","3","14","Richard Kramer","",NED,"113.152","2.522","1","Bot4750"
"93339","1","3","15","Ken Ueta","Windsail",JPN,"114.478","3.848","1","Bot8123"
"93339","1","3","16","Kareem Dorsey","Eckleson",GBR,"114.872","4.242","1","Bot6427"
"93339","1","3","17","Augusto Pereira","",BRA,"116.08","5.449","1","Bot2297"
"93339","1","4","1","Daisuke Yamashita","",JPN,"140.526","0","1","Bot4559"
"93339","1","4","2","Jackie Ventura","",USA,"140.841","0.315","1","Bot9245"
"93339","1","4","3","Dzifa Ayih","Titans",TOG,"140.964","0.438","1","Bot4730"
"93339","1","4","4","Philipp Winkler","Systech",GER,"141.178","0.652","1","Bot7804"
"93339","1","4","5","Heiko Lang","",AUT,"141.578","1.052","1","Bot3196"
"93339","1","4","6","Arjan Hendriks","",NED,"141.682","1.156","1","Bot9653"
"93339","1","4","7","Thad Daugherty","",AUS,"141.752","1.226","1","Bot8657"
"93339","1","4","8","Théo Simon","",LUX,"141.84","1.314","1","Bot4181"
"93339","1","4","9","Allan Plante","",CAN,"141.998","1.472","1","Bot8997"
"93339","1","4","10","Emanuel Stephenson","Optech",USA,"142.155","1.629","1","Bot8418"
"93339","1","4","11","James Eastwood","Chaos",GBR,"142.225","1.699","1","212354980F57BA1B"
"93339","1","4","12","Henry Walsh","",CAN,"144.058","3.532","1","Bot9365"
"93339","1","4","13","Richard Kramer","",NED,"146.706","6.18","1","Bot4750"
"93339","1","4","14","Ivanka Pjanić","",CRO,"147.889","7.363","1","Bot7587"
"93339","1","4","15","Ken Ueta","Windsail",JPN,"148.879","8.353","1","Bot8123"
"93339","1","4","16","Kareem Dorsey","Eckleson",GBR,"149.04","8.514","1","Bot6427"
"93339","1","5","1","Daisuke Yamashita","",JPN,"174.471","0","1","Bot4559"
"93339","1","5","2","Philipp Winkler","Systech",GER,"174.701","0.229","1","Bot7804"
"93339","1","5","3","Heiko Lang","",AUT,"174.818","0.346","1","Bot3196"
"93339","1","5","4","Dzifa Ayih","Titans",TOG,"174.992","0.52","1","Bot4730"
"93339","1","5","5","Jackie Ventura","",USA,"175.017","0.545","1","Bot9245"
"93339","1","5","6","Arjan Hendriks","",NED,"175.408","0.936","1","Bot9653"
