OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"93340","1","1","Ryan Yates","Allkin Racing",USA,"726.537","0","9783.035","0","19",Male,"2FDBB5DD4345DCB5","1265","Gold 3","1278","Gold 3","40-44","","",""
"93340","1","2","Daler Saidov","Fable",TJK,"682.922","0.282","9268.138","0","18",Bot,"Bot7710","1279","Gold 3","1283","Gold 3","","","",""
"93340","1","3","Corrado Fusco","",ITA,"643.939","0.235","8753.242","0","17",Bot,"Bot1399","1207","Gold 3","1199","Gold 2","","","",""
"93340","1","4","Jim Macleod","",SCO,"603.675","0.195","8238.345","0","16",Bot,"Bot5671","1350","Platinum 1","1320","Platinum 1","","","",""
"93340","1","5","Matteo Marchal","Zonkify",BEL,"563.42","0.44","7723.449","0","15",Bot,"Bot1009","1026","Gold 1","1024","Gold 1","","","",""
"93340","1","6","Santos Mejia","",ESA,"523.085","0.479","7208.552","0","14",Bot,"Bot248","1093","Gold 1","1075","Gold 1","","","",""
"93340","1","7","Felix Hurst","",USA,"501.484","19.328","6693.655","0","13",Bot,"Bot3689","1218","Gold 3","1203","Gold 3","","","",""
"93340","1","8","Leroy Lightbourne","AMO Solutions",BAH,"462.493","20.854","6178.759","0","12",Bot,"Bot5639","1042","Gold 1","1040","Gold 1","","","",""
"93340","1","9","Brian Waters","",GBR,"420.488","17.337","5663.862","0","11",Bot,"Bot6750","986","Silver 3","974","Silver 3","","","",""
"93340","1","10","Nitai Goldstein","",ISR,"379.068","15.069","5148.965","0","10",Bot,"Bot6192","1052","Gold 1","1039","Gold 1","","","",""
"93340","1","11","Tom Kenny","",NIR,"338.504","14.305","4634.069","0","9",Bot,"Bot7648","1132","Gold 2","1103","Gold 2","","","",""
"93340","1","12","Atsuki Ueda","",JPN,"298.743","12.778","4119.172","0","8",Bot,"Bot7862","1131","Gold 2","1139","Gold 2","","","",""
"93340","1","13","Carter Salinas","Ampex",GBR,"258.622","11.853","3604.276","0","7",Bot,"Bot8814","1060","Gold 1","1051","Gold 1","","","",""
"93340","1","14","Sirje Kallas","Monova",EST,"218.532","10.653","3089.379","0","6",Bot,"Bot8319","1140","Gold 2","1118","Gold 2","","","",""
"93340","1","15","Katerina Dodig","Formix",CZE,"180.686","6.869","2574.482","0","5",Bot,"Bot117","1028","Gold 1","1013","Gold 1","","","",""
"93340","1","16","Danial Vega","Systech",AUS,"152.178","11.787","2059.586","0","4",Bot,"Bot2204","981","Silver 3","979","Silver 3","","","",""
"93340","1","17","Petra Pliskin","",SVK,"115.691","5.091","1544.689","0","3",Bot,"Bot1789","984","Silver 3","964","Silver 3","","","",""
"93340","1","18","Claude Masson","",FRA,"82.89","2.543","1029.793","0","2",Bot,"Bot5597","1069","Gold 1","1044","Gold 1","","","",""
"93340","1","19","Bojidar Osman","",BUL,"47.505","1.353","514.896","0","1",Bot,"Bot3344","1283","Gold 3","1250","Gold 3","","","",""




INTERMEDIATE LOCATION RESULTS:

EventKey,Pen,Location,Position,Name,Team,Country,Time,DeltaTime,Points,UID
"93340","1","1","1","Daler Saidov","Fable",TJK,"46.151","0","1","Bot7710"
"93340","1","1","2","Ryan Yates","Allkin Racing",USA,"46.274","0.122","1","2FDBB5DD4345DCB5"
"93340","1","1","3","Matteo Marchal","Zonkify",BEL,"46.349","0.198","1","Bot1009"
"93340","1","1","4","Leroy Lightbourne","AMO Solutions",BAH,"46.547","0.395","1","Bot5639"
"93340","1","1","5","Nitai Goldstein","",ISR,"46.634","0.482","1","Bot6192"
"93340","1","1","6","Claude Masson","",FRA,"46.727","0.575","1","Bot5597"
"93340","1","1","7","Katerina Dodig","Formix",CZE,"46.837","0.685","1","Bot117"
"93340","1","1","8","Santos Mejia","",ESA,"47.032","0.881","1","Bot248"
"93340","1","1","9","Atsuki Ueda","",JPN,"47.073","0.921","1","Bot7862"
"93340","1","1","10","Brian Waters","",GBR,"47.128","0.976","1","Bot6750"
"93340","1","1","11","Danial Vega","Systech",AUS,"47.165","1.014","1","Bot2204"
"93340","1","1","12","Tom Kenny","",NIR,"47.204","1.052","1","Bot7648"
"93340","1","1","13","Felix Hurst","",USA,"47.214","1.063","1","Bot3689"
"93340","1","1","14","Sirje Kallas","Monova",EST,"47.231","1.079","1","Bot8319"
"93340","1","1","15","Jim Macleod","",SCO,"47.277","1.125","1","Bot5671"
"93340","1","1","16","Petra Pliskin","",SVK,"47.314","1.162","1","Bot1789"
"93340","1","1","17","Corrado Fusco","",ITA,"47.377","1.226","1","Bot1399"
"93340","1","1","18","Carter Salinas","Ampex",GBR,"47.441","1.289","1","Bot8814"
"93340","1","1","19","Bojidar Osman","",BUL,"47.505","1.353","1","Bot3344"
"93340","1","2","1","Atsuki Ueda","",JPN,"80.346","0","1","Bot7862"
"93340","1","2","2","Jim Macleod","",SCO,"80.399","0.053","1","Bot5671"
"93340","1","2","3","Leroy Lightbourne","AMO Solutions",BAH,"80.45","0.104","1","Bot5639"
"93340","1","2","4","Felix Hurst","",USA,"80.564","0.217","1","Bot3689"
"93340","1","2","5","Tom Kenny","",NIR,"80.575","0.229","1","Bot7648"
"93340","1","2","6","Katerina Dodig","Formix",CZE,"80.58","0.234","1","Bot117"
"93340","1","2","7","Ryan Yates","Allkin Racing",USA,"80.761","0.415","1","2FDBB5DD4345DCB5"
"93340","1","2","8","Carter Salinas","Ampex",GBR,"80.807","0.461","1","Bot8814"
"93340","1","2","9","Matteo Marchal","Zonkify",BEL,"80.853","0.506","1","Bot1009"
"93340","1","2","10","Brian Waters","",GBR,"80.86","0.514","1","Bot6750"
"93340","1","2","11","Nitai Goldstein","",ISR,"80.955","0.609","1","Bot6192"
"93340","1","2","12","Santos Mejia","",ESA,"81.036","0.69","1","Bot248"
"93340","1","2","13","Sirje Kallas","Monova",EST,"81.496","1.15","1","Bot8319"
"93340","1","2","14","Petra Pliskin","",SVK,"81.994","1.648","1","Bot1789"
"93340","1","2","15","Daler Saidov","Fable",TJK,"82.188","1.841","1","Bot7710"
"93340","1","2","16","Corrado Fusco","",ITA,"82.2","1.854","1","Bot1399"
"93340","1","2","17","Danial Vega","Systech",AUS,"82.399","2.053","1","Bot2204"
"93340","1","2","18","Claude Masson","",FRA,"82.89","2.543","1","Bot5597"
