OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"93491","4","1","Julien Helleputte","Riders Givrés du Trainer",BEL,"817.735","0","9783.035","0","19",Male,"5F2EDC06F34578B8","100","Bronze 1","292","Bronze 1","35-39","","",""
"93491","4","2","Elise Laurent","",BEL,"778.721","9.815","9268.138","0","18",Bot,"Bot8553","598","Bronze 2","607","Bronze 3","","","",""
"93491","4","3","Perry Cohen","Hinal",GBR,"730.953","7.323","8753.242","0","17",Bot,"Bot4231","497","Bronze 1","531","Bronze 2","","","",""
"93491","4","4","Ginette Martin","",FRA,"685.498","6.166","8238.345","0","16",Bot,"Bot7087","532","Bronze 2","542","Bronze 2","","","",""
"93491","4","5","Ayumi Takata","",JPN,"640.705","4.236","7723.449","0","15",Bot,"Bot3968","618","Bronze 3","607","Bronze 3","","","",""
"93491","4","6","Johnny Zhang","",CAN,"598.431","1.009","7208.552","0","14",Bot,"Bot5465","611","Bronze 3","623","Bronze 3","","","",""
"93491","4","7","Ingrid Pettersen","",NOR,"553.923","0.704","6693.655","0","13",Bot,"Bot8279","631","Bronze 3","616","Bronze 3","","","",""
"93491","4","8","Alma Vainio","",FIN,"508.435","0.544","6178.759","0","12",Bot,"Bot5281","634","Bronze 3","620","Bronze 3","","","",""
"93491","4","9","Enid Hampton","",AUS,"464.875","1.272","5663.862","0","11",Bot,"Bot8654","616","Bronze 3","614","Bronze 3","","","",""
"93491","4","10","Judy Velazquez","Sherpa",AUS,"420.686","0.821","5148.965","0","10",Bot,"Bot4720","640","Bronze 3","610","Bronze 3","","","",""
"93491","4","11","Noella Bolduc","",CAN,"376.434","0.65","4634.069","0","9",Bot,"Bot9478","611","Bronze 3","587","Bronze 2","","","",""
"93491","4","12","Lara Kindle","Douvan",LIE,"330.996","0.7","4119.172","0","8",Bot,"Bot1336","554","Bronze 2","535","Bronze 2","","","",""
"93491","4","13","Yolanda Martínez","Hector",NCA,"298.562","12.999","3604.276","0","7",Bot,"Bot1026","523","Bronze 2","501","Bronze 2","","","",""
"93491","4","14","Anna Taloikwai","True Form",SOL,"249.934","7.519","3089.379","0","6",Bot,"Bot4015","387","Bronze 1","393","Bronze 1","","","",""
"93491","4","15","Asia Pace","",ITA,"204.406","4.929","2574.482","0","5",Bot,"Bot5849","406","Bronze 1","403","Bronze 1","","","",""
"93491","4","16","Lola Ledesma","AMO Solutions",ARG,"164.693","4.552","2059.586","0","4",Bot,"Bot2439","498","Bronze 1","502","Bronze 2","","","",""
"93491","4","17","Ana Bautista","Krowen",RSA,"127.049","3.003","1544.689","0","3",Bot,"Bot2602","531","Bronze 2","518","Bronze 2","","","",""
"93491","4","18","Javier Zapata","Optech",COL,"91.846","2.874","1029.793","0","2",Bot,"Bot1318","299","Bronze 1","317","Bronze 1","","","",""
"93491","4","19","Maaike Willems","Monova",NED,"52.659","2.013","514.896","0","1",Bot,"Bot3419","323","Bronze 1","322","Bronze 1","","","",""




INTERMEDIATE LOCATION RESULTS:

EventKey,Pen,Location,Position,Name,Team,Country,Time,DeltaTime,Points,UID
"93491","4","1","1","Julien Helleputte","Riders Givrés du Trainer",BEL,"50.645","0","1","5F2EDC06F34578B8"
"93491","4","1","2","Perry Cohen","Hinal",GBR,"50.735","0.089","1","Bot4231"
"93491","4","1","3","Enid Hampton","",AUS,"50.88","0.234","1","Bot8654"
"93491","4","1","4","Ginette Martin","",FRA,"50.988","0.342","1","Bot7087"
"93491","4","1","5","Elise Laurent","",BEL,"51.118","0.472","1","Bot8553"
"93491","4","1","6","Lola Ledesma","AMO Solutions",ARG,"51.156","0.51","1","Bot2439"
"93491","4","1","7","Johnny Zhang","",CAN,"51.239","0.593","1","Bot5465"
"93491","4","1","8","Ayumi Takata","",JPN,"51.324","0.678","1","Bot3968"
"93491","4","1","9","Anna Taloikwai","True Form",SOL,"51.33","0.684","1","Bot4015"
"93491","4","1","10","Ana Bautista","Krowen",RSA,"51.446","0.801","1","Bot2602"
"93491","4","1","11","Noella Bolduc","",CAN,"51.463","0.818","1","Bot9478"
"93491","4","1","12","Alma Vainio","",FIN,"51.541","0.895","1","Bot5281"
"93491","4","1","13","Ingrid Pettersen","",NOR,"51.592","0.947","1","Bot8279"
"93491","4","1","14","Yolanda Martínez","Hector",NCA,"51.77","1.124","1","Bot1026"
"93491","4","1","15","Judy Velazquez","Sherpa",AUS,"51.779","1.133","1","Bot4720"
"93491","4","1","16","Javier Zapata","Optech",COL,"51.891","1.245","1","Bot1318"
"93491","4","1","17","Lara Kindle","Douvan",LIE,"51.924","1.278","1","Bot1336"
"93491","4","1","18","Asia Pace","",ITA,"52.085","1.439","1","Bot5849"
"93491","4","1","19","Maaike Willems","Monova",NED,"52.659","2.013","1","Bot3419"
"93491","4","2","1","Perry Cohen","Hinal",GBR,"88.971","0","1","Bot4231"
"93491","4","2","2","Lola Ledesma","AMO Solutions",ARG,"89.33","0.358","1","Bot2439"
"93491","4","2","3","Ingrid Pettersen","",NOR,"89.624","0.652","1","Bot8279"
"93491","4","2","4","Johnny Zhang","",CAN,"89.73","0.759","1","Bot5465"
"93491","4","2","5","Ginette Martin","",FRA,"89.811","0.839","1","Bot7087"
"93491","4","2","6","Julien Helleputte","Riders Givrés du Trainer",BEL,"89.931","0.959","1","5F2EDC06F34578B8"
"93491","4","2","7","Noella Bolduc","",CAN,"89.996","1.025","1","Bot9478"
"93491","4","2","8","Enid Hampton","",AUS,"90.085","1.113","1","Bot8654"
"93491","4","2","9","Ana Bautista","Krowen",RSA,"90.09","1.119","1","Bot2602"
"93491","4","2","10","Yolanda Martínez","Hector",NCA,"90.172","1.201","1","Bot1026"
"93491","4","2","11","Alma Vainio","",FIN,"90.27","1.299","1","Bot5281"
"93491","4","2","12","Judy Velazquez","Sherpa",AUS,"90.347","1.376","1","Bot4720"
"93491","4","2","13","Ayumi Takata","",JPN,"90.405","1.433","1","Bot3968"
"93491","4","2","14","Anna Taloikwai","True Form",SOL,"90.434","1.463","1","Bot4015"
"93491","4","2","15","Elise Laurent","",BEL,"90.686","1.715","1","Bot8553"
"93491","4","2","16","Lara Kindle","Douvan",LIE,"90.701","1.73","1","Bot1336"
"93491","4","2","17","Asia Pace","",ITA,"91.179","2.208","1","Bot5849"
"93491","4","2","18","Javier Zapata","Optech",COL,"91.846","2.874","1","Bot1318"
"93491","4","3","1","Lola Ledesma","AMO Solutions",ARG,"124.046","0","1","Bot2439"
"93491","4","3","2","Johnny Zhang","",CAN,"124.218","0.172","1","Bot5465"
"93491","4","3","3","Perry Cohen","Hinal",GBR,"124.312","0.266","1","Bot4231"
"93491","4","3","4","Asia Pace","",ITA,"124.622","0.576","1","Bot5849"
