OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"94193","1","1","Jamie Bishop","Newhall.cc",GBR,"754.06","0","9783.035","0","19",Male,"F03D3F7331D34D18","1181","Gold 2","1153","Gold 2","50-54","","",""
"94193","1","2","Mirosław Kalinowski","eVOX",POL,"708.324","5.547","9268.138","0","18",Bot,"Bot8805","1114","Gold 2","1120","Gold 2","","","",""
"94193","1","3","Julie Morin","Saint",FRA,"667.137","1.041","8753.242","0","17",Bot,"Bot4532","1093","Gold 1","1079","Gold 1","","","",""
"94193","1","4","Melvin Fuller","",AUS,"626.296","0.477","8238.345","0","16",Bot,"Bot1863","912","Silver 3","900","Silver 3","","","",""
"94193","1","5","Rocco Dal","",ITA,"595.097","10.141","7723.449","0","15",Bot,"Bot9474","1059","Gold 1","1063","Gold 1","","","",""
"94193","1","6","Kai Wong","",CHR,"551.88","8.864","7208.552","0","14",Bot,"Bot4359","934","Silver 3","930","Silver 3","","","",""
"94193","1","7","Darijo Slutsky","Delta",SVK,"509.083","7.512","6693.655","0","13",Bot,"Bot521","849","Silver 2","867","Silver 2","","","",""
"94193","1","8","Karolina Albrecht","",GER,"466.727","7.112","6178.759","0","12",Bot,"Bot6741","1008","Gold 1","997","Silver 3","","","",""
"94193","1","9","Nathan Boeri","",MON,"424.385","6.376","5663.862","0","11",Bot,"Bot8767","1033","Gold 1","1015","Gold 1","","","",""
"94193","1","10","Eric Ayers","Aria Olefson",RSA,"382.616","5.91","5148.965","0","10",Bot,"Bot5028","943","Silver 3","935","Silver 3","","","",""
"94193","1","11","Alejandro Guzman","Titans",COL,"340.662","5.671","4634.069","0","9",Bot,"Bot6530","856","Silver 2","860","Silver 2","","","",""
"94193","1","12","Ty Portillo","",RSA,"298.649","4.37","4119.172","0","8",Bot,"Bot4152","1060","Gold 1","1036","Gold 1","","","",""
"94193","1","13","Xianquan Lai","",CHN,"258.7","5.006","3604.276","0","7",Bot,"Bot5997","1006","Gold 1","980","Silver 3","","","",""
"94193","1","14","Peter Lafaele","",ASA,"225.356","11.031","3089.379","0","6",Bot,"Bot5788","1072","Gold 1","1059","Gold 1","","","",""
"94193","1","15","Maria Tereshchenko","",UKR,"190.986","14.768","2574.482","0","5",Bot,"Bot6658","960","Silver 3","927","Silver 3","","","",""
"94193","1","16","Anaïs Michel","Base",FRA,"153.867","11.282","2059.586","0","4",Bot,"Bot6325","1080","Gold 1","1052","Gold 1","","","",""
"94193","1","17","Martha Boudreau","",CAN,"117.572","4.779","1544.689","0","3",Bot,"Bot2890","822","Silver 2","812","Silver 2","","","",""
"94193","1","18","Thiago Rodriguez","",COL,"82.833","1.804","1029.793","0","2",Bot,"Bot1960","1122","Gold 2","1112","Gold 2","","","",""
"94193","1","19","Angeles Romero","Saint",ESP,"47.778","1.245","514.896","0","1",Bot,"Bot4332","901","Silver 3","869","Silver 2","","","",""




INTERMEDIATE LOCATION RESULTS:

EventKey,Pen,Location,Position,Name,Team,Country,Time,DeltaTime,Points,UID
"94193","1","1","1","Mirosław Kalinowski","eVOX",POL,"46.533","0","1","Bot8805"
"94193","1","1","2","Thiago Rodriguez","",COL,"46.553","0.02","1","Bot1960"
"94193","1","1","3","Eric Ayers","Aria Olefson",RSA,"46.86","0.327","1","Bot5028"
"94193","1","1","4","Alejandro Guzman","Titans",COL,"46.925","0.392","1","Bot6530"
"94193","1","1","5","Maria Tereshchenko","",UKR,"46.992","0.458","1","Bot6658"
"94193","1","1","6","Jamie Bishop","Newhall.cc",GBR,"47.088","0.555","1","F03D3F7331D34D18"
"94193","1","1","7","Rocco Dal","",ITA,"47.132","0.599","1","Bot9474"
"94193","1","1","8","Melvin Fuller","",AUS,"47.144","0.611","1","Bot1863"
"94193","1","1","9","Kai Wong","",CHR,"47.218","0.685","1","Bot4359"
"94193","1","1","10","Darijo Slutsky","Delta",SVK,"47.35","0.816","1","Bot521"
"94193","1","1","11","Nathan Boeri","",MON,"47.378","0.845","1","Bot8767"
"94193","1","1","12","Peter Lafaele","",ASA,"47.387","0.854","1","Bot5788"
"94193","1","1","13","Karolina Albrecht","",GER,"47.459","0.926","1","Bot6741"
"94193","1","1","14","Julie Morin","Saint",FRA,"47.53","0.997","1","Bot4532"
"94193","1","1","15","Xianquan Lai","",CHN,"47.574","1.041","1","Bot5997"
"94193","1","1","16","Anaïs Michel","Base",FRA,"47.592","1.059","1","Bot6325"
"94193","1","1","17","Martha Boudreau","",CAN,"47.661","1.127","1","Bot2890"
"94193","1","1","18","Ty Portillo","",RSA,"47.746","1.212","1","Bot4152"
"94193","1","1","19","Angeles Romero","Saint",ESP,"47.778","1.245","1","Bot4332"
"94193","1","2","1","Martha Boudreau","",CAN,"81.028","0","1","Bot2890"
"94193","1","2","2","Peter Lafaele","",ASA,"81.284","0.255","1","Bot5788"
"94193","1","2","3","Anaïs Michel","Base",FRA,"81.393","0.364","1","Bot6325"
"94193","1","2","4","Nathan Boeri","",MON,"81.513","0.484","1","Bot8767"
"94193","1","2","5","Eric Ayers","Aria Olefson",RSA,"81.625","0.596","1","Bot5028"
"94193","1","2","6","Julie Morin","Saint",FRA,"81.75","0.721","1","Bot4532"
"94193","1","2","7","Jamie Bishop","Newhall.cc",GBR,"81.983","0.954","1","F03D3F7331D34D18"
"94193","1","2","8","Ty Portillo","",RSA,"82.017","0.988","1","Bot4152"
"94193","1","2","9","Mirosław Kalinowski","eVOX",POL,"82.032","1.003","1","Bot8805"
"94193","1","2","10","Rocco Dal","",ITA,"82.034","1.006","1","Bot9474"
"94193","1","2","11","Kai Wong","",CHR,"82.067","1.038","1","Bot4359"
"94193","1","2","12","Maria Tereshchenko","",UKR,"82.144","1.115","1","Bot6658"
"94193","1","2","13","Xianquan Lai","",CHN,"82.172","1.143","1","Bot5997"
"94193","1","2","14","Melvin Fuller","",AUS,"82.207","1.179","1","Bot1863"
"94193","1","2","15","Karolina Albrecht","",GER,"82.36","1.331","1","Bot6741"
"94193","1","2","16","Darijo Slutsky","Delta",SVK,"82.424","1.395","1","Bot521"
"94193","1","2","17","Alejandro Guzman","Titans",COL,"82.616","1.587","1","Bot6530"
