OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"93945","1","1","Francis Garcia","Saint",FRA,"1709.338","0.194","19839.976","0","280",Bot,"Bot1032","1121","Gold 2","1122","Gold 2","","","",""
"93945","1","2","Fazeel Zuhair","AI Thunder",MDV,"1709.405","0.261","19839.976","0","261",Bot,"Bot7600","1108","Gold 2","1108","Gold 2","","","",""
"93945","1","3","Noel Bennett","",JAM,"1709.433","0.289","19839.976","0","253",Bot,"Bot1072","1050","Gold 1","1050","Gold 1","","","",""
"93945","1","4","Dietmar Lindner","Formix",GER,"1709.143","0","19839.976","0","251",Bot,"Bot7417","1114","Gold 2","1114","Gold 2","","","",""
"93945","1","5","Enzo Angelini","",ITA,"1709.377","0.233","19839.976","0","246",Bot,"Bot7166","1062","Gold 1","1062","Gold 1","","","",""
"93945","1","6","Yoobin Pi","",KOR,"1709.342","0.198","19839.976","0","227",Bot,"Bot5762","1058","Gold 1","1059","Gold 1","","","",""
"93945","1","7","Julien Helleputte","Riders Givrés du Trainer",BEL,"1798.698","89.554","19839.976","0","215",Male,"5F2EDC06F34578B8","100","Bronze 1","991","Silver 3","35-39","","",""
"93945","1","8","Bart De Groot","",NED,"1765.776","56.632","19839.976","0","203",Bot,"Bot3556","1129","Gold 2","1128","Gold 2","","","",""
"93945","1","9","Kenzo Shimizu","",JPN,"1808.503","99.359","19839.976","0","160",Bot,"Bot6274","891","Silver 2","892","Silver 2","","","",""
"93945","1","10","Runchu Lim","AI Thunder",CHN,"1808.829","99.685","19839.976","0","136",Bot,"Bot2400","820","Silver 2","821","Silver 2","","","",""
"93945","1","11","Théo Collard","Ampex",BEL,"1808.889","99.745","19839.976","0","132",Bot,"Bot5214","922","Silver 3","922","Silver 3","","","",""
"93945","1","12","Stanford Truong","Meisterkuhl",AUS,"1800.454","91.31","19839.976","0","128",Bot,"Bot2522","977","Silver 3","977","Silver 3","","","",""
"93945","1","13","Emilia Ekström","",SWE,"1800.296","91.152","19839.976","0","122",Bot,"Bot9688","978","Silver 3","977","Silver 3","","","",""
"93945","1","14","Junaid Al-Muhairi","Fable",UAE,"1808.623","99.48","19839.976","0","122",Bot,"Bot510","831","Silver 2","831","Silver 2","","","",""
"93945","1","15","Tommy Jensen","",SWE,"1808.329","99.185","19839.976","0","98",Bot,"Bot5051","1011","Gold 1","1009","Gold 1","","","",""
"93945","1","16","Stephan Hahn","YES",AUT,"1817.531","108.387","19839.976","0","96",Bot,"Bot6435","765","Silver 1","765","Silver 1","","","",""
"93945","1","17","Klaus Danielsen","",DEN,"1832.018","122.874","19839.976","0","49",Bot,"Bot6791","906","Silver 3","906","Silver 3","","","",""
"93945","1","18","Lazaro Miller","",NZL,"1832.431","123.288","19839.976","0","39",Bot,"Bot9296","1018","Gold 1","1017","Gold 1","","","",""
"93945","1","19","Zuhair Al-Naqbi","Ampex",UAE,"1845.598","136.454","19839.976","0","39",Bot,"Bot314","796","Silver 1","796","Silver 1","","","",""
"93945","1","20","Rebecca Luna","Zonkify",ARG,"1858.804","149.66","19839.976","0","36",Bot,"Bot6109","846","Silver 2","846","Silver 2","","","",""
"93945","1","21","Josue Mosquera","",COL,"1841.977","132.833","19839.976","0","21",Bot,"Bot5486","845","Silver 2","844","Silver 2","","","",""
"93945","1","22","Ismo Suominen","Fiber Shot",FIN,"1834.653","125.509","19839.976","0","13",Bot,"Bot5416","917","Silver 3","918","Silver 3","","","",""
"93945","1","23","Valentina Szervánszky","",CZE,"1840.351","131.207","19839.976","0","11",Bot,"Bot3790","897","Silver 2","897","Silver 2","","","",""
"93945","1","24","Stan Barajas","",AUS,"1836.845","127.701","19839.976","0","6",Bot,"Bot3384","1016","Gold 1","1016","Gold 1","","","",""
"93945","1","25","Michelle Simon","",FRA,"1911.213","202.069","19839.976","0","6",Bot,"Bot3084","725","Silver 1","726","Silver 1","","","",""
"93945","1","26","Ryu Sasaki","Nitro",JPN,"1904.677","195.533","19839.976","0","0",Bot,"Bot437","925","Silver 3","925","Silver 3","","","",""
"93945","1","27","Oleg Winograd","",SVK,"1908.971","199.827","19839.976","0","0",Bot,"Bot1997","977","Silver 3","975","Silver 3","","","",""
"93945","1","28","Feruza Nurmatova","",UZB,"1910.4","201.256","19839.976","0","0",Bot,"Bot6941","792","Silver 1","792","Silver 1","","","",""
"93945","1","29","Stavroula Konstantinidis","",GRE,"1914.324","205.18","19839.976","0","0",Bot,"Bot2264","793","Silver 1","793","Silver 1","","","",""
"93945","1","30","Joël Boyer","Base",FRA,"1992.585","283.441","19839.976","0","0",Bot,"Bot8925","789","Silver 1","789","Silver 1","","","",""
"93945","1","31","Arjan Visser","Fiber Shot",NED,"2037.256","328.112","19839.976","0","0",Bot,"Bot4216","911","Silver 3","910","Silver 3","","","",""
"93945","1","32","Carlo Venturi","AMO Solutions",ITA,"2155.347","446.203","19839.976","0","0",Bot,"Bot1339","764","Silver 1","764","Silver 1","","","",""
"93945","1","33","Rune Martin","",BEL,"2155.479","446.335","19839.976","0","0",Bot,"Bot795","752","Silver 1","752","Silver 1","","","",""
"93945","1","34","Dunja Köhler","",GER,"2155.866","446.722","19839.976","0","0",Bot,"Bot3144","981","Silver 3","980","Silver 3","","","",""
"93945","1","35","May Kelley","",AUS,"2156.308","447.164","19839.976","0","0",Bot,"Bot6079","752","Silver 1","752","Silver 1","","","",""
"93945","1","36","Martijn Blom","",NED,"2156.751","447.607","19839.976","0","0",Bot,"Bot6749","875","Silver 2","873","Silver 2","","","",""
"93945","1","37","Brandi Anthony","Kumori",ENG,"2157.255","448.111","19839.976","0","0",Bot,"Bot4640","838","Silver 2","836","Silver 2","","","",""
"93945","1",DNF,"Anderson Harewood","Sherpa",BAR,"1846.119","0","15702.496","0","0",Bot,"Bot7320","950","Silver 3","949","Silver 3","","","",""
"93945","1",DNF,"Irma Moses","",USA,"1906.086","0","16271.077","0","0",Bot,"Bot5970","877","Silver 2","874","Silver 2","","","",""




INTERMEDIATE LOCATION RESULTS:

EventKey,Pen,Location,Position,Name,Team,Country,Time,DeltaTime,Points,UID
"93945","1","1","1","Dietmar Lindner","Formix",GER,"351.72","0","20","Bot7417"
"93945","1","1","2","Julien Helleputte","Riders Givrés du Trainer",BEL,"351.781","0.061","19","5F2EDC06F34578B8"
"93945","1","1","3","Runchu Lim","AI Thunder",CHN,"352.747","1.027","18","Bot2400"
"93945","1","1","4","Francis Garcia","Saint",FRA,"353.18","1.46","17","Bot1032"
"93945","1","1","5","Kenzo Shimizu","",JPN,"353.444","1.724","16","Bot6274"
"93945","1","1","6","Bart De Groot","",NED,"353.626","1.906","15","Bot3556"
"93945","1","1","7","Noel Bennett","",JAM,"353.915","2.194","14","Bot1072"
"93945","1","1","8","Rebecca Luna","Zonkify",ARG,"353.944","2.223","13","Bot6109"
"93945","1","1","9","Enzo Angelini","",ITA,"354.469","2.748","12","Bot7166"
"93945","1","1","10","Stephan Hahn","YES",AUT,"354.569","2.848","11","Bot6435"
"93945","1","1","11","Zuhair Al-Naqbi","Ampex",UAE,"355.457","3.736","10","Bot314"
"93945","1","1","12","Junaid Al-Muhairi","Fable",UAE,"355.773","4.052","9","Bot510"
"93945","1","1","13","Fazeel Zuhair","AI Thunder",MDV,"356.001","4.28","8","Bot7600"
"93945","1","1","14","Emilia Ekström","",SWE,"357.681","5.96","7","Bot9688"
"93945","1","1","15","Michelle Simon","",FRA,"358.039","6.318","6","Bot3084"
"93945","1","1","16","Théo Collard","Ampex",BEL,"358.091","6.37","5","Bot5214"
"93945","1","1","17","Valentina Szervánszky","",CZE,"358.151","6.431","4","Bot3790"
"93945","1","1","18","Klaus Danielsen","",DEN,"358.607","6.887","3","Bot6791"
"93945","1","1","19","Stanford Truong","Meisterkuhl",AUS,"359.069","7.348","2","Bot2522"
"93945","1","1","20","Lazaro Miller","",NZL,"359.248","7.527","1","Bot9296"
"93945","1","1","21","Tommy Jensen","",SWE,"361.191","9.47","0","Bot5051"
"93945","1","1","22","Yoobin Pi","",KOR,"361.262","9.541","0","Bot5762"
"93945","1","1","23","Josue Mosquera","",COL,"361.528","9.807","0","Bot5486"
"93945","1","1","24","Stan Barajas","",AUS,"363.725","12.004","0","Bot3384"
"93945","1","1","25","Ismo Suominen","Fiber Shot",FIN,"366.175","14.454","0","Bot5416"
"93945","1","1","26","Oleg Winograd","",SVK,"371.273","19.552","0","Bot1997"
"93945","1","1","27","Joël Boyer","Base",FRA,"371.595","19.875","0","Bot8925"
"93945","1","1","28","Feruza Nurmatova","",UZB,"376.056","24.335","0","Bot6941"
"93945","1","1","29","Stavroula Konstantinidis","",GRE,"377.272","25.551","0","Bot2264"
"93945","1","1","30","Ryu Sasaki","Nitro",JPN,"381.179","29.459","0","Bot437"
"93945","1","1","31","Arjan Visser","Fiber Shot",NED,"383.222","31.502","0","Bot4216"
"93945","1","1","32","Dunja Köhler","",GER,"416.445","64.725","0","Bot3144"
"93945","1","1","33","Carlo Venturi","AMO Solutions",ITA,"416.86","65.139","0","Bot1339"
"93945","1","1","34","Brandi Anthony","Kumori",ENG,"417.082","65.362","0","Bot4640"
"93945","1","1","35","May Kelley","",AUS,"417.134","65.413","0","Bot6079"
"93945","1","1","36","Martijn Blom","",NED,"417.294","65.573","0","Bot6749"
"93945","1","1","37","Rune Martin","",BEL,"417.447","65.726","0","Bot795"
"93945","1","1","38","Irma Moses","",USA,"453.046","101.326","0","Bot5970"
"93945","1","1","39","Anderson Harewood","Sherpa",BAR,"469.104","117.384","0","Bot7320"
"93945","1","2","1","Noel Bennett","",JAM,"414.92","0","20","Bot1072"
"93945","1","2","2","Fazeel Zuhair","AI Thunder",MDV,"415.139","0.218","19","Bot7600"
"93945","1","2","3","Dietmar Lindner","Formix",GER,"415.398","0.477","18","Bot7417"
"93945","1","2","4","Kenzo Shimizu","",JPN,"415.641","0.72","17","Bot6274"
"93945","1","2","5","Francis Garcia","Saint",FRA,"415.658","0.738","16","Bot1032"
"93945","1","2","6","Stephan Hahn","YES",AUT,"415.9","0.979","15","Bot6435"
"93945","1","2","7","Julien Helleputte","Riders Givrés du Trainer",BEL,"417.528","2.607","14","5F2EDC06F34578B8"
"93945","1","2","8","Bart De Groot","",NED,"417.688","2.767","13","Bot3556"
"93945","1","2","9","Enzo Angelini","",ITA,"417.703","2.783","12","Bot7166"
"93945","1","2","10","Junaid Al-Muhairi","Fable",UAE,"418.901","3.981","11","Bot510"
"93945","1","2","11","Runchu Lim","AI Thunder",CHN,"419.508","4.587","10","Bot2400"
"93945","1","2","12","Zuhair Al-Naqbi","Ampex",UAE,"420.977","6.056","9","Bot314"
"93945","1","2","13","Rebecca Luna","Zonkify",ARG,"421.146","6.226","8","Bot6109"
"93945","1","2","14","Théo Collard","Ampex",BEL,"421.667","6.746","7","Bot5214"
"93945","1","2","15","Tommy Jensen","",SWE,"422.38","7.459","6","Bot5051"
"93945","1","2","16","Yoobin Pi","",KOR,"422.87","7.949","5","Bot5762"
"93945","1","2","17","Klaus Danielsen","",DEN,"424.727","9.806","4","Bot6791"
"93945","1","2","18","Stanford Truong","Meisterkuhl",AUS,"424.873","9.952","3","Bot2522"
"93945","1","2","19","Lazaro Miller","",NZL,"425.009","10.088","2","Bot9296"
"93945","1","2","20","Josue Mosquera","",COL,"425.087","10.166","1","Bot5486"
"93945","1","2","21","Michelle Simon","",FRA,"426.634","11.713","0","Bot3084"
"93945","1","2","22","Emilia Ekström","",SWE,"427.422","12.501","0","Bot9688"
"93945","1","2","23","Valentina Szervánszky","",CZE,"427.575","12.654","0","Bot3790"
"93945","1","2","24","Stan Barajas","",AUS,"434.289","19.368","0","Bot3384"
"93945","1","2","25","Ismo Suominen","Fiber Shot",FIN,"440.657","25.737","0","Bot5416"
"93945","1","2","26","Oleg Winograd","",SVK,"452.895","37.975","0","Bot1997"
"93945","1","2","27","Feruza Nurmatova","",UZB,"453.257","38.336","0","Bot6941"
"93945","1","2","28","Joël Boyer","Base",FRA,"453.306","38.385","0","Bot8925"
"93945","1","2","29","Stavroula Konstantinidis","",GRE,"454.729","39.809","0","Bot2264"
"93945","1","2","30","Ryu Sasaki","Nitro",JPN,"461.605","46.684","0","Bot437"
"93945","1","2","31","Arjan Visser","Fiber Shot",NED,"461.732","46.811","0","Bot4216"
