OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"95029","1","1","Ryan Yates","Allkin Racing",USA,"1654.847","4.295","19839.976","0","270",Male,"2FDBB5DD4345DCB5","1272","Gold 3","1274","Gold 3","40-44","","",""
"95029","1","2","Max Roman","Aguda",GBR,"1650.691","0.139","19839.976","0","262",Bot,"Bot9633","1405","Platinum 2","1407","Platinum 2","","","",""
"95029","1","3","Hiro Kinoshita","",JPN,"1650.551","0","19839.976","0","232",Bot,"Bot1197","1415","Platinum 2","1417","Platinum 2","","","",""
"95029","1","4","Perry Massey","",GBR,"1651.015","0.464","19839.976","0","230",Bot,"Bot2692","1275","Gold 3","1277","Gold 3","","","",""
"95029","1","5","Mika Walter","Kumori",GER,"1666.436","15.884","19839.976","0","179",Bot,"Bot9640","1252","Gold 3","1251","Gold 3","","","",""
"95029","1","6","Oliver Lloyd","",RSA,"1667.068","16.516","19839.976","0","173",Bot,"Bot7589","1286","Gold 3","1287","Gold 3","","","",""
"95029","1","7","Brian McIntosh","",BAH,"1673.14","22.588","19839.976","0","171",Bot,"Bot7162","1129","Gold 2","1128","Gold 2","","","",""
"95029","1","8","Ethan Damme","",BEL,"1666.714","16.162","19839.976","0","161",Bot,"Bot7683","1224","Gold 3","1223","Gold 3","","","",""
"95029","1","9","Mauri Lehtonen","Patriot",FIN,"1668.158","17.606","19839.976","0","157",Bot,"Bot9808","1154","Gold 2","1155","Gold 2","","","",""
"95029","1","10","Major Salas","",USA,"1668.072","17.52","19839.976","0","149",Bot,"Bot5580","1190","Gold 2","1189","Gold 2","","","",""
"95029","1","11","Christian Svensson","",SWE,"1673.296","22.744","19839.976","0","149",Bot,"Bot6968","1290","Gold 3","1293","Gold 3","","","",""
"95029","1","12","Carlos Valencia","Nitro",COL,"1666.006","15.455","19839.976","0","146",Bot,"Bot5337","1261","Gold 3","1259","Gold 3","","","",""
"95029","1","13","Aldo Esposito","",ITA,"1667.526","16.974","19839.976","0","137",Bot,"Bot8577","1356","Platinum 1","1357","Platinum 1","","","",""
"95029","1","14","Kamil Ješić","",CZE,"1673.619","23.068","19839.976","0","135",Bot,"Bot9493","1127","Gold 2","1127","Gold 2","","","",""
"95029","1","15","Henry Gumbs","",ISV,"1673.232","22.681","19839.976","0","120",Bot,"Bot7165","1208","Gold 3","1210","Gold 3","","","",""
"95029","1","16","Joaquin Perez","Delta",ESP,"1667.954","17.402","19839.976","0","81",Bot,"Bot6821","1208","Gold 3","1209","Gold 3","","","",""
"95029","1","17","Elijah Smith","Patriot",WAL,"1666.491","15.939","19839.976","0","62",Bot,"Bot2208","1340","Platinum 1","1342","Platinum 1","","","",""
"95029","1","18","Nico Winkler","Douvan",SUI,"1673.333","22.782","19839.976","0","53",Bot,"Bot5236","1218","Gold 3","1218","Gold 3","","","",""
"95029","1","19","Roger Craig","",RSA,"1668.345","17.794","19839.976","0","48",Bot,"Bot9076","1280","Gold 3","1282","Gold 3","","","",""
"95029","1","20","Bart De Groot","",NED,"1706.482","55.93","19839.976","0","38",Bot,"Bot3556","1123","Gold 2","1122","Gold 2","","","",""
"95029","1","21","Eeli Huttunen","True Form",FIN,"1693.44","42.889","19839.976","0","37",Bot,"Bot5215","1193","Gold 2","1195","Gold 2","","","",""
"95029","1","22","Earl Ellison","",NZL,"1693.616","43.064","19839.976","0","37",Bot,"Bot1280","1236","Gold 3","1235","Gold 3","","","",""
"95029","1","23","Tun Win","",MYA,"1706.15","55.599","19839.976","0","32",Bot,"Bot3159","1127","Gold 2","1128","Gold 2","","","",""
"95029","1","24","Otso Lappalainen","",FIN,"1729.527","78.976","19839.976","0","31",Bot,"Bot5266","1188","Gold 2","1186","Gold 2","","","",""
"95029","1","25","Emmanuel Leclercq","",FRA,"1722.096","71.544","19839.976","0","21",Bot,"Bot7777","1123","Gold 2","1123","Gold 2","","","",""
"95029","1","26","Adrian Lorenzo","Dashix",ESP,"1790.041","139.49","19839.976","0","16",Bot,"Bot8311","1105","Gold 2","1106","Gold 2","","","",""
"95029","1","27","Tomislav Sinkovits","Orbit",SVK,"1706.43","55.878","19839.976","0","12",Bot,"Bot603","1142","Gold 2","1144","Gold 2","","","",""
"95029","1","28","Emiliano Martini","",ITA,"1707.321","56.77","19839.976","0","6",Bot,"Bot9141","1224","Gold 3","1224","Gold 3","","","",""
"95029","1","29","Tomislav Rebić","Eckleson",MKD,"1746.074","95.522","19839.976","0","5",Bot,"Bot9827","1200","Gold 3","1200","Gold 3","","","",""
"95029","1","30","Adam De","",BEL,"1804.882","154.331","19839.976","0","0",Bot,"Bot3075","1123","Gold 2","1123","Gold 2","","","",""
"95029","1","31","Maximilian Jäger","eVOX",SUI,"1805.001","154.449","19839.976","0","0",Bot,"Bot7105","1101","Gold 2","1101","Gold 2","","","",""
"95029","1","32","Byron Henson","",RSA,"1805.014","154.462","19839.976","0","0",Bot,"Bot7584","1148","Gold 2","1148","Gold 2","","","",""
"95029","1","33","Bashir Khan","",AFG,"1855.705","205.153","19839.976","0","0",Bot,"Bot5578","1107","Gold 2","1107","Gold 2","","","",""
"95029","1","34","Benjamin Moore","",IRL,"1859.081","208.529","19839.976","0","0",Bot,"Bot41","1107","Gold 2","1108","Gold 2","","","",""
"95029","1","35","Paul Hendriks","",NED,"1984.351","333.799","19839.976","0","0",Bot,"Bot4662","1111","Gold 2","1110","Gold 2","","","",""
"95029","1","36","Vladimir Šećerović","",CZE,"2015.774","365.222","19839.976","0","0",Bot,"Bot845","1143","Gold 2","1139","Gold 2","","","",""
"95029","1",DNF,"Cristian Contreras","Nitro",CHI,"1710.781","0","16146.956","0","0",Bot,"Bot5437","1110","Gold 2","1107","Gold 2","","","",""
"95029","1",DNF,"Heriberto Harrell","Douvan",AUS,"1770.802","0","16804.21","0","0",Bot,"Bot7936","1104","Gold 2","1102","Gold 2","","","",""
"95029","1",DNF,"Marek Konopka","",KOS,"1830.838","0","17289.671","0","0",Bot,"Bot4883","1124","Gold 2","1120","Gold 2","","","",""




INTERMEDIATE LOCATION RESULTS:

EventKey,Pen,Location,Position,Name,Team,Country,Time,DeltaTime,Points,UID
"95029","1","1","1","Earl Ellison","",NZL,"332.848","0","20","Bot1280"
"95029","1","1","2","Aldo Esposito","",ITA,"333.879","1.031","19","Bot8577"
"95029","1","1","3","Ryan Yates","Allkin Racing",USA,"335.107","2.258","18","2FDBB5DD4345DCB5"
"95029","1","1","4","Hiro Kinoshita","",JPN,"337.501","4.653","17","Bot1197"
"95029","1","1","5","Eeli Huttunen","True Form",FIN,"337.782","4.934","16","Bot5215"
"95029","1","1","6","Christian Svensson","",SWE,"340.298","7.449","15","Bot6968"
"95029","1","1","7","Emmanuel Leclercq","",FRA,"342.07","9.222","14","Bot7777"
"95029","1","1","8","Bart De Groot","",NED,"344.069","11.22","13","Bot3556"
"95029","1","1","9","Ethan Damme","",BEL,"344.93","12.081","12","Bot7683"
"95029","1","1","10","Carlos Valencia","Nitro",COL,"345.025","12.176","11","Bot5337"
"95029","1","1","11","Major Salas","",USA,"345.086","12.237","10","Bot5580"
"95029","1","1","12","Adrian Lorenzo","Dashix",ESP,"345.679","12.83","9","Bot8311"
"95029","1","1","13","Mika Walter","Kumori",GER,"345.956","13.107","8","Bot9640"
"95029","1","1","14","Perry Massey","",GBR,"346.16","13.312","7","Bot2692"
"95029","1","1","15","Oliver Lloyd","",RSA,"346.955","14.106","6","Bot7589"
"95029","1","1","16","Brian McIntosh","",BAH,"346.972","14.123","5","Bot7162"
"95029","1","1","17","Max Roman","Aguda",GBR,"347.111","14.262","4","Bot9633"
"95029","1","1","18","Otso Lappalainen","",FIN,"347.214","14.366","3","Bot5266"
"95029","1","1","19","Emiliano Martini","",ITA,"348.482","15.633","2","Bot9141"
"95029","1","1","20","Tomislav Rebić","Eckleson",MKD,"348.985","16.137","1","Bot9827"
"95029","1","1","21","Byron Henson","",RSA,"349.068","16.22","0","Bot7584"
"95029","1","1","22","Nico Winkler","Douvan",SUI,"349.081","16.232","0","Bot5236"
"95029","1","1","23","Roger Craig","",RSA,"349.26","16.411","0","Bot9076"
"95029","1","1","24","Henry Gumbs","",ISV,"352.574","19.726","0","Bot7165"
"95029","1","1","25","Kamil Ješić","",CZE,"353.075","20.226","0","Bot9493"
"95029","1","1","26","Joaquin Perez","Delta",ESP,"353.163","20.315","0","Bot6821"
"95029","1","1","27","Tomislav Sinkovits","Orbit",SVK,"353.22","20.371","0","Bot603"
"95029","1","1","28","Elijah Smith","Patriot",WAL,"353.224","20.375","0","Bot2208"
"95029","1","1","29","Tun Win","",MYA,"355.007","22.158","0","Bot3159"
"95029","1","1","30","Mauri Lehtonen","Patriot",FIN,"355.175","22.327","0","Bot9808"
"95029","1","1","31","Benjamin Moore","",IRL,"358.047","25.199","0","Bot41"
"95029","1","1","32","Bashir Khan","",AFG,"361.946","29.097","0","Bot5578"
"95029","1","1","33","Maximilian Jäger","eVOX",SUI,"362.063","29.214","0","Bot7105"
"95029","1","1","34","Adam De","",BEL,"364.184","31.335","0","Bot3075"
"95029","1","1","35","Paul Hendriks","",NED,"376.45","43.602","0","Bot4662"
"95029","1","1","36","Heriberto Harrell","Douvan",AUS,"406.454","73.605","0","Bot7936"
"95029","1","1","37","Marek Konopka","",KOS,"406.523","73.675","0","Bot4883"
"95029","1","1","38","Cristian Contreras","Nitro",CHI,"406.539","73.691","0","Bot5437"
"95029","1","1","39","Vladimir Šećerović","",CZE,"406.7","73.851","0","Bot845"
"95029","1","2","1","Mika Walter","Kumori",GER,"406.201","0","20","Bot9640"
"95029","1","2","2","Major Salas","",USA,"406.383","0.182","19","Bot5580"
"95029","1","2","3","Otso Lappalainen","",FIN,"406.812","0.611","18","Bot5266"
"95029","1","2","4","Oliver Lloyd","",RSA,"407.141","0.94","17","Bot7589"
"95029","1","2","5","Ryan Yates","Allkin Racing",USA,"407.647","1.446","16","2FDBB5DD4345DCB5"
"95029","1","2","6","Carlos Valencia","Nitro",COL,"407.74","1.539","15","Bot5337"
"95029","1","2","7","Perry Massey","",GBR,"407.809","1.608","14","Bot2692"
"95029","1","2","8","Bart De Groot","",NED,"407.949","1.748","13","Bot3556"
"95029","1","2","9","Max Roman","Aguda",GBR,"408.056","1.855","12","Bot9633"
"95029","1","2","10","Ethan Damme","",BEL,"409.36","3.159","11","Bot7683"
"95029","1","2","11","Brian McIntosh","",BAH,"409.931","3.729","10","Bot7162"
"95029","1","2","12","Christian Svensson","",SWE,"410.72","4.518","9","Bot6968"
"95029","1","2","13","Aldo Esposito","",ITA,"412.057","5.856","8","Bot8577"
"95029","1","2","14","Earl Ellison","",NZL,"412.806","6.605","7","Bot1280"
"95029","1","2","15","Hiro Kinoshita","",JPN,"412.849","6.648","6","Bot1197"
"95029","1","2","16","Adrian Lorenzo","Dashix",ESP,"413.445","7.243","5","Bot8311"
"95029","1","2","17","Eeli Huttunen","True Form",FIN,"413.727","7.526","4","Bot5215"
"95029","1","2","18","Tomislav Rebić","Eckleson",MKD,"415.326","9.125","3","Bot9827"
"95029","1","2","19","Nico Winkler","Douvan",SUI,"415.536","9.335","2","Bot5236"
"95029","1","2","20","Emmanuel Leclercq","",FRA,"416.009","9.808","1","Bot7777"
"95029","1","2","21","Roger Craig","",RSA,"417.928","11.727","0","Bot9076"
"95029","1","2","22","Emiliano Martini","",ITA,"418.549","12.348","0","Bot9141"
"95029","1","2","23","Byron Henson","",RSA,"422.771","16.57","0","Bot7584"
"95029","1","2","24","Joaquin Perez","Delta",ESP,"427.37","21.169","0","Bot6821"
"95029","1","2","25","Tun Win","",MYA,"427.567","21.366","0","Bot3159"
"95029","1","2","26","Mauri Lehtonen","Patriot",FIN,"427.595","21.394","0","Bot9808"
"95029","1","2","27","Elijah Smith","Patriot",WAL,"428.785","22.584","0","Bot2208"
"95029","1","2","28","Kamil Ješić","",CZE,"429.193","22.992","0","Bot9493"
"95029","1","2","29","Henry Gumbs","",ISV,"429.394","23.193","0","Bot7165"
"95029","1","2","30","Tomislav Sinkovits","Orbit",SVK,"429.693","23.492","0","Bot603"
"95029","1","2","31","Benjamin Moore","",IRL,"443.291","37.09","0","Bot41"
"95029","1","2","32","Bashir Khan","",AFG,"445.449","39.248","0","Bot5578"
"95029","1","2","33","Maximilian Jäger","eVOX",SUI,"445.619","39.418","0","Bot7105"
"95029","1","2","34","Adam De","",BEL,"445.937","39.736","0","Bot3075"
