OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"93869","1","1","Jack Thomas","",SHN,"1014.688","0","9599.859","0","0",Bot,"Bot1797","1147","Gold 2","1139","Gold 2","","","",""
"93869","1","2","Jaap Van der Linden","",NED,"1036.696","22.007","9599.859","0","0",Bot,"Bot5095","1128","Gold 2","1133","Gold 2","","","",""
"93869","1","3","Menachem Levy","",ISR,"1037.268","22.58","9599.859","0","0",Bot,"Bot2643","1142","Gold 2","1149","Gold 2","","","",""
"93869","1","4","Desislav Dobrev","",BUL,"1055.039","40.351","9599.859","0","0",Bot,"Bot8942","1044","Gold 1","1045","Gold 1","","","",""
"93869","1","5","Nico Schmidt","",AUT,"1059.376","44.688","9599.859","0","0",Bot,"Bot6148","1039","Gold 1","1041","Gold 1","","","",""
"93869","1","6","Tyree Nicholson","",ENG,"1060.059","45.37","9599.859","0","0",Bot,"Bot9986","1089","Gold 1","1107","Gold 2","","","",""
"93869","1","7","Romeo Melis","YES",ITA,"1068.508","53.82","9599.859","0","0",Bot,"Bot3735","1027","Gold 1","1029","Gold 1","","","",""
"93869","1","8","Clint Gonzalez","Optech",USA,"1069.852","55.164","9599.859","0","0",Bot,"Bot1018","1070","Gold 1","1099","Gold 1","","","",""
"93869","1","9","Liam Cuthbert","YES",SCO,"1070.745","56.057","9599.859","0","0",Bot,"Bot3535","1023","Gold 1","1025","Gold 1","","","",""
"93869","1","10","Raymond Tate","",AUS,"1075.858","61.17","9599.859","0","0",Bot,"Bot1645","1013","Gold 1","1013","Gold 1","","","",""
"93869","1","11","Santos Mejia","",ESA,"1079.488","64.8","9599.859","0","0",Bot,"Bot248","1069","Gold 1","1055","Gold 1","","","",""
"93869","1","12","Kenneth Nyaga","",KEN,"1085.204","70.516","9599.859","0","0",Bot,"Bot3295","985","Silver 3","986","Silver 3","","","",""
"93869","1","13","Antony Preston","",GBR,"1086.864","72.176","9599.859","0","0",Bot,"Bot458","991","Silver 3","998","Silver 3","","","",""
"93869","1","14","Nikki Kamau","",KEN,"1099.934","85.246","9599.859","0","0",Bot,"Bot5356","967","Silver 3","964","Silver 3","","","",""
"93869","1","15","Rune Skov","Roklit",DEN,"1102.655","87.967","9599.859","0","0",Bot,"Bot3412","1077","Gold 1","1072","Gold 1","","","",""
"93869","1","16","Marek Sabsovich","Saitama",CZE,"1104.441","89.752","9599.859","0","0",Bot,"Bot5734","912","Silver 3","907","Silver 3","","","",""
"93869","1","17","Tane Faumuina","",SAM,"1105.126","90.438","9599.859","0","0",Bot,"Bot6049","1108","Gold 2","1091","Gold 1","","","",""
"93869","1","18","Léa Roussel","Aguda",FRA,"1108.808","94.119","9599.859","0","0",Bot,"Bot3933","970","Silver 3","976","Silver 3","","","",""
"93869","1","19","Diego Theisen","",LUX,"1110.609","95.921","9599.859","0","0",Bot,"Bot5178","937","Silver 3","952","Silver 3","","","",""
"93869","1","20","Alfredo Boyer","",USA,"1114.335","99.647","9599.859","0","0",Bot,"Bot6653","904","Silver 3","898","Silver 2","","","",""
"93869","1","21","Jamila Pillai","",UAE,"1117.049","102.36","9599.859","0","0",Bot,"Bot2551","932","Silver 3","930","Silver 3","","","",""
"93869","1","22","Julien Helleputte","Riders Givrés du Trainer",BEL,"1124.297","109.608","9599.859","0","0",Male,"5F2EDC06F34578B8","100","Bronze 1","992","Silver 3","35-39","","",""
"93869","1","23","Burian Tishchenko","",UKR,"1125.287","110.599","9599.859","0","0",Bot,"Bot9847","887","Silver 2","896","Silver 2","","","",""
"93869","1","24","Dusty Ayala","",USA,"1127.528","112.84","9599.859","0","0",Bot,"Bot5348","873","Silver 2","876","Silver 2","","","",""
"93869","1","25","Jietang Fung","Systech",CHN,"1127.873","113.185","9599.859","0","0",Bot,"Bot4004","897","Silver 2","904","Silver 3","","","",""
"93869","1","26","Stine Eskildsen","",DEN,"1129.916","115.228","9599.859","0","0",Bot,"Bot5971","896","Silver 2","901","Silver 3","","","",""
"93869","1","27","Bart Van der Heijden","",NED,"1139.732","125.043","9599.859","0","0",Bot,"Bot8482","841","Silver 2","845","Silver 2","","","",""
"93869","1","28","Wyatt Barrera","",NZL,"1142.311","127.623","9599.859","0","0",Bot,"Bot8067","820","Silver 2","823","Silver 2","","","",""
"93869","1","29","Leonidas Dimitriadis","",GRE,"1147.959","133.271","9599.859","0","0",Bot,"Bot1067","814","Silver 2","834","Silver 2","","","",""
"93869","1","30","Carlos Augusto","Fujikai",POR,"1148.533","133.844","9599.859","0","0",Bot,"Bot8713","872","Silver 2","895","Silver 2","","","",""
"93869","1","31","Mikael Ikonen","",FIN,"1161.34","146.652","9599.859","0","0",Bot,"Bot8755","797","Silver 1","796","Silver 1","","","",""
"93869","1","32","Fernand Brunet","",FRA,"1163.799","149.11","9599.859","0","0",Bot,"Bot5994","897","Silver 2","885","Silver 2","","","",""
"93869","1","33","Bol Garang","",SSD,"1164.755","150.067","9599.859","0","0",Bot,"Bot2148","803","Silver 2","814","Silver 2","","","",""
"93869","1","34","Alfreda Green","Eckleson",AUS,"1170.719","156.031","9599.859","0","0",Bot,"Bot9327","800","Silver 2","804","Silver 2","","","",""
"93869","1","35","Kostiantyn Kostenko","",UKR,"1172.717","158.029","9599.859","0","0",Bot,"Bot2249","775","Silver 1","779","Silver 1","","","",""
"93869","1","36","Bom Da","Kumori",KOR,"1180.023","165.335","9599.859","0","0",Bot,"Bot3640","759","Silver 1","762","Silver 1","","","",""
"93869","1","37","Milagros Sellers","Aria Olefson",USA,"1180.403","165.715","9599.859","0","0",Bot,"Bot6028","849","Silver 2","833","Silver 2","","","",""
"93869","1","38","Andre Soares","Heat",POR,"1186.881","172.193","9599.859","0","0",Bot,"Bot7107","912","Silver 3","898","Silver 2","","","",""
"93869","1","39","Lev Hrepka","",CRO,"1187.481","172.793","9599.859","0","0",Bot,"Bot3387","982","Silver 3","961","Silver 3","","","",""
"93869","1","40","Sahil Kulkarni","Formix",IND,"1294.027","279.339","9599.859","0","0",Bot,"Bot5217","895","Silver 2","884","Silver 2","","","",""




INTERMEDIATE LOCATION RESULTS:

EventKey,Pen,Location,Position,Name,Team,Country,Time,DeltaTime,Points,UID
"93869","1","1","1","Menachem Levy","",ISR,"329.787","0","0","Bot2643"
"93869","1","1","2","Jack Thomas","",SHN,"333.869","4.081","0","Bot1797"
"93869","1","1","3","Tyree Nicholson","",ENG,"335.497","5.709","0","Bot9986"
"93869","1","1","4","Clint Gonzalez","Optech",USA,"340.957","11.169","0","Bot1018"
"93869","1","1","5","Jaap Van der Linden","",NED,"341.443","11.655","0","Bot5095"
"93869","1","1","6","Romeo Melis","YES",ITA,"342.771","12.983","0","Bot3735"
"93869","1","1","7","Liam Cuthbert","YES",SCO,"343.616","13.828","0","Bot3535"
"93869","1","1","8","Nico Schmidt","",AUT,"344.624","14.836","0","Bot6148"
"93869","1","1","9","Desislav Dobrev","",BUL,"346.545","16.758","0","Bot8942"
"93869","1","1","10","Antony Preston","",GBR,"346.582","16.794","0","Bot458"
"93869","1","1","11","Kenneth Nyaga","",KEN,"347.844","18.056","0","Bot3295"
"93869","1","1","12","Diego Theisen","",LUX,"348.264","18.476","0","Bot5178"
"93869","1","1","13","Raymond Tate","",AUS,"349.917","20.129","0","Bot1645"
"93869","1","1","14","Leonidas Dimitriadis","",GRE,"350.586","20.799","0","Bot1067"
"93869","1","1","15","Santos Mejia","",ESA,"352.164","22.376","0","Bot248"
"93869","1","1","16","Léa Roussel","Aguda",FRA,"352.975","23.188","0","Bot3933"
"93869","1","1","17","Burian Tishchenko","",UKR,"354.101","24.313","0","Bot9847"
"93869","1","1","18","Rune Skov","Roklit",DEN,"354.91","25.122","0","Bot3412"
"93869","1","1","19","Carlos Augusto","Fujikai",POR,"356.95","27.162","0","Bot8713"
"93869","1","1","20","Jietang Fung","Systech",CHN,"357.197","27.41","0","Bot4004"
"93869","1","1","21","Tane Faumuina","",SAM,"357.651","27.863","0","Bot6049"
"93869","1","1","22","Bol Garang","",SSD,"358.165","28.377","0","Bot2148"
"93869","1","1","23","Nikki Kamau","",KEN,"358.404","28.616","0","Bot5356"
"93869","1","1","24","Marek Sabsovich","Saitama",CZE,"358.656","28.868","0","Bot5734"
"93869","1","1","25","Bart Van der Heijden","",NED,"360.176","30.388","0","Bot8482"
"93869","1","1","26","Alfredo Boyer","",USA,"361.881","32.093","0","Bot6653"
"93869","1","1","27","Jamila Pillai","",UAE,"362.723","32.935","0","Bot2551"
"93869","1","1","28","Dusty Ayala","",USA,"365.16","35.373","0","Bot5348"
"93869","1","1","29","Stine Eskildsen","",DEN,"365.172","35.384","0","Bot5971"
"93869","1","1","30","Mikael Ikonen","",FIN,"366.683","36.895","0","Bot8755"
"93869","1","1","31","Wyatt Barrera","",NZL,"367.804","38.016","0","Bot8067"
"93869","1","1","32","Kostiantyn Kostenko","",UKR,"369.781","39.993","0","Bot2249"
"93869","1","1","33","Fernand Brunet","",FRA,"373.559","43.771","0","Bot5994"
"93869","1","1","34","Alfreda Green","Eckleson",AUS,"373.793","44.005","0","Bot9327"
"93869","1","1","35","Lev Hrepka","",CRO,"375.439","45.651","0","Bot3387"
"93869","1","1","36","Bom Da","Kumori",KOR,"376.489","46.702","0","Bot3640"
"93869","1","1","37","Julien Helleputte","Riders Givrés du Trainer",BEL,"376.781","46.994","0","5F2EDC06F34578B8"
"93869","1","1","38","Andre Soares","Heat",POR,"378.13","48.342","0","Bot7107"
"93869","1","1","39","Milagros Sellers","Aria Olefson",USA,"380.962","51.174","0","Bot6028"
"93869","1","1","40","Sahil Kulkarni","Formix",IND,"406.016","76.229","0","Bot5217"
"93869","1","2","1","Jack Thomas","",SHN,"634.766","0","0","Bot1797"
"93869","1","2","2","Menachem Levy","",ISR,"640.937","6.171","0","Bot2643"
"93869","1","2","3","Jaap Van der Linden","",NED,"649.09","14.323","0","Bot5095"
"93869","1","2","4","Tyree Nicholson","",ENG,"653.66","18.894","0","Bot9986"
"93869","1","2","5","Clint Gonzalez","Optech",USA,"658.406","23.64","0","Bot1018"
"93869","1","2","6","Nico Schmidt","",AUT,"660.461","25.694","0","Bot6148"
"93869","1","2","7","Romeo Melis","YES",ITA,"660.617","25.85","0","Bot3735"
"93869","1","2","8","Desislav Dobrev","",BUL,"660.787","26.021","0","Bot8942"
"93869","1","2","9","Liam Cuthbert","YES",SCO,"662.943","28.176","0","Bot3535"
"93869","1","2","10","Raymond Tate","",AUS,"669.948","35.182","0","Bot1645"
"93869","1","2","11","Antony Preston","",GBR,"671.109","36.343","0","Bot458"
"93869","1","2","12","Kenneth Nyaga","",KEN,"671.649","36.883","0","Bot3295"
"93869","1","2","13","Santos Mejia","",ESA,"673.49","38.723","0","Bot248"
"93869","1","2","14","Diego Theisen","",LUX,"680.826","46.06","0","Bot5178"
"93869","1","2","15","Tane Faumuina","",SAM,"685.205","50.439","0","Bot6049"
"93869","1","2","16","Rune Skov","Roklit",DEN,"685.617","50.851","0","Bot3412"
"93869","1","2","17","Nikki Kamau","",KEN,"686.464","51.698","0","Bot5356"
"93869","1","2","18","Marek Sabsovich","Saitama",CZE,"687.622","52.856","0","Bot5734"
"93869","1","2","19","Léa Roussel","Aguda",FRA,"688.636","53.87","0","Bot3933"
"93869","1","2","20","Burian Tishchenko","",UKR,"689.868","55.102","0","Bot9847"
"93869","1","2","21","Leonidas Dimitriadis","",GRE,"693.359","58.592","0","Bot1067"
"93869","1","2","22","Alfredo Boyer","",USA,"693.751","58.985","0","Bot6653"
"93869","1","2","23","Jietang Fung","Systech",CHN,"694.985","60.218","0","Bot4004"
"93869","1","2","24","Jamila Pillai","",UAE,"696.414","61.647","0","Bot2551"
"93869","1","2","25","Dusty Ayala","",USA,"701.075","66.308","0","Bot5348"
"93869","1","2","26","Carlos Augusto","Fujikai",POR,"701.275","66.508","0","Bot8713"
"93869","1","2","27","Bart Van der Heijden","",NED,"701.434","66.668","0","Bot8482"
"93869","1","2","28","Stine Eskildsen","",DEN,"706.158","71.391","0","Bot5971"
"93869","1","2","29","Wyatt Barrera","",NZL,"708.802","74.035","0","Bot8067"
"93869","1","2","30","Bol Garang","",SSD,"708.934","74.168","0","Bot2148"
"93869","1","2","31","Julien Helleputte","Riders Givrés du Trainer",BEL,"712.168","77.402","0","5F2EDC06F34578B8"
"93869","1","2","32","Mikael Ikonen","",FIN,"713.451","78.685","0","Bot8755"
"93869","1","2","33","Kostiantyn Kostenko","",UKR,"719.515","84.749","0","Bot2249"
