OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"93261","4","1","Julien Helleputte","Riders Givrés du Trainer",BEL,"2758.316","0","25934.3","0","0",Male,"5F2EDC06F34578B8","100","Bronze 1","310","Bronze 1","35-39","","",""
"93261","4","2","Danny Vega","",GBR,"2825.941","67.624","25934.3","0","0",Bot,"Bot4770","586","Bronze 2","589","Bronze 2","","","",""
"93261","4","3","Jovan Veselinović","",SRB,"2826.161","67.844","25934.3","0","0",Bot,"Bot7082","577","Bronze 2","576","Bronze 2","","","",""
"93261","4","4","Brendan Rios","",USA,"2854.98","96.663","25934.3","0","0",Bot,"Bot4177","599","Bronze 2","610","Bronze 3","","","",""
"93261","4","5","Julien Erpelding","",LUX,"2862.044","103.727","25934.3","0","0",Bot,"Bot1493","551","Bronze 2","559","Bronze 2","","","",""
"93261","4","6","Frankie Maher","",NIR,"2866.437","108.12","25934.3","0","0",Bot,"Bot7986","595","Bronze 2","592","Bronze 2","","","",""
"93261","4","7","Jaclyn Mason","Saint",GBR,"2866.439","108.123","25934.3","0","0",Bot,"Bot6332","600","Bronze 3","595","Bronze 2","","","",""
"93261","4","8","Pia Schmitz","",GER,"2866.984","108.667","25934.3","0","0",Bot,"Bot2194","561","Bronze 2","562","Bronze 2","","","",""
"93261","4","9","Youssef Al-Hussein","Monova",PLE,"2867.189","108.872","25934.3","0","0",Bot,"Bot419","608","Bronze 3","609","Bronze 3","","","",""
"93261","4","10","Alondra Reyes","",PUR,"2867.241","108.924","25934.3","0","0",Bot,"Bot8951","610","Bronze 3","603","Bronze 3","","","",""
"93261","4","11","Ayoub Renard","Krowen",BEL,"2867.39","109.073","25934.3","0","0",Bot,"Bot8302","601","Bronze 3","606","Bronze 3","","","",""
"93261","4","12","Rufina Pereyra","",ARG,"2868.442","110.125","25934.3","0","0",Bot,"Bot4965","591","Bronze 2","585","Bronze 2","","","",""
"93261","4","13","Marcia Williams","eVOX",BAR,"2933.751","175.434","25934.3","0","0",Bot,"Bot3305","600","Bronze 3","599","Bronze 2","","","",""
"93261","4","14","Traci Lang","Hinal",RSA,"2942.835","184.518","25934.3","0","0",Bot,"Bot8231","504","Bronze 2","506","Bronze 2","","","",""
"93261","4","15","Giuliana Grillo","",ITA,"2943.012","184.695","25934.3","0","0",Bot,"Bot1578","508","Bronze 2","513","Bronze 2","","","",""
"93261","4","16","Ava Johnson","Sherpa",WAL,"2946.58","188.263","25934.3","0","0",Bot,"Bot2520","524","Bronze 2","523","Bronze 2","","","",""
"93261","4","17","Virginie David","",FRA,"2946.755","188.438","25934.3","0","0",Bot,"Bot963","562","Bronze 2","562","Bronze 2","","","",""
"93261","4","18","Anna Hellström","Capital",SWE,"2946.866","188.549","25934.3","0","0",Bot,"Bot3124","541","Bronze 2","536","Bronze 2","","","",""
"93261","4","19","Chunhei Don","Patriot",KOR,"3012.774","254.457","25934.3","0","0",Bot,"Bot2408","488","Bronze 1","489","Bronze 1","","","",""
