================================================================================
SEASON 1 - RIDER POSITION REPORT
Each rider's current position in the seasonal standings
================================================================================

Total Riders in Season 1 Standings: 2207

--------------------------------------------------------------------------------------------------------------
Position  Rider Name                    Team                ARR   Events  Points  Type
--------------------------------------------------------------------------------------------------------------
1st       Julien Helleputte             Riders Givrés du T  200   7       498     Human
2nd       Gregory Frison                Mashup Collective   1817  4       395     Human
3rd       Forrest Beck                  Independent         1310  4       376     Bot
4th       Lasse Schmidt                 Independent         1443  6       311     Bot
5th       Richard Kramer                Independent         1271  4       310     Bot
6th       Ian Ortiz                     AMO Solutions       1433  4       298     Bot
7th       Emmanuel Mensah               Independent         1375  4       296     Bot
8th       Marcel Bourgeois              Independent         1445  4       295     Bot
9th       Mansour Salem                 Independent         1508  4       290     Bot
10th      Neal Marshall                 Independent         1152  3       283     Bot
11th      Ryan Yates                    Allkin Racing       1267  3       283     Human
12th      Rob Miller                    Race3R              1172  4       277     Human
13th      Eric Lemoine                  Independent         1405  3       273     Bot
14th      Gilbert Meyer                 Independent         1367  3       273     Bot
15th      Jochen Hübner                 Independent         1402  3       268     Bot
16th      Arthur Le Gros                Independent         1332  3       267     Bot
17th      Yurui Ten                     Windsail            1356  3       263     Bot
18th      Luca Pinna                    Independent         1316  3       257     Bot
19th      Rick McDonald                 YES                 1084  4       257     Bot
20th      Ulyana Miroshnichenko         Saint               919   3       247     Bot
21st      Emilio Dougherty              Titans              1254  3       240     Bot
22nd      Ciprian Badea                 Independent         1096  3       232     Bot
23rd      Max Roman                     Aguda               1440  4       230     Bot
24th      Florian Girard                Independent         1373  3       229     Bot
25th      Lon Huber                     AI Thunder          1642  4       224     Bot
26th      Elijah Smith                  Patriot             1361  3       222     Bot
27th      Koa Jibas                     Douvan              1134  3       219     Bot
28th      Samuel Pires                  Independent         1444  4       218     Bot
29th      Lenny Shaffer                 Hector              1260  3       217     Bot
30th      Fazeel Zuhair                 AI Thunder          1120  3       214     Bot
31st      Marco Fortin                  Independent         1363  2       213     Bot
32nd      Arthur Seymour                Independent         1349  2       211     Bot
33rd      Philippe Fabre                Independent         1343  2       211     Bot
34th      Jamie Bishop                  Newhall.cc          1173  4       211     Human
35th      Joshua Burgess                Titans              1353  2       208     Bot
36th      Ron Crane                     Independent         1392  2       207     Bot
37th      Maxime Fontaine               Independent         1352  2       207     Bot
38th      Anthony Arnaud                Independent         1352  2       205     Bot
39th      Filip Černý                   Independent         1572  4       203     Bot
40th      Eelis Pitkänen                Independent         1202  3       202     Bot
41st      Tun Win                       Independent         1114  2       200     Bot
42nd      Julie Morin                   Saint               1106  3       200     Bot
43rd      Hiro Kinoshita                Independent         1436  4       198     Bot
44th      Erwin Dougherty               Independent         1207  3       197     Bot
45th      Mussie Araya                  Independent         1245  3       197     Bot
46th      Arseni Koplowitz              Hinal               1643  4       196     Bot
47th      Joaquin Perez                 Delta               1208  3       194     Bot
48th      Emmanuel Contreras            Independent         1081  3       194     Bot
49th      Guy McCall                    Roklit              1648  4       193     Bot
50th      Arseni Košarac                Independent         1115  3       192     Bot
51st      Joshua Atkins                 Independent         1343  2       190     Bot
52nd      Daler Saidov                  Fable               1353  2       190     Bot
53rd      Keven Kaiser                  Independent         1153  2       190     Bot
54th      Wendell Shannon               Independent         1600  3       190     Bot
55th      Tingtai Khong                 Independent         1738  4       190     Bot
56th      Jassim Al Baker               Independent         1339  2       189     Bot
57th      Dieter Mayer                  Independent         1347  2       189     Bot
58th      Santos Giles                  Optech              1567  4       189     Bot
59th      Florian Bertrand              Heat                1572  4       189     Bot
60th      Rory Robertson                Titans              1379  2       188     Bot
61st      Glenn Lindberg                Orbit               1275  2       187     Bot
62nd      Jovan Kulyk                   AI Thunder          1208  3       187     Bot
63rd      Patrick Jansen                HCOM                1217  2       186     Bot
64th      Salim Al-Riyami               Independent         1139  3       185     Bot
65th      Manuel Castro                 Independent         1346  2       184     Bot
66th      Dobroslav Pulszky             Aspire              1369  2       183     Bot
67th      Thierno Sylla                 Independent         1197  2       183     Bot
68th      Erik Gunnarsson               Independent         1157  2       181     Bot
69th      Mohamed Silva                 Douvan              1114  2       181     Bot
70th      Jebediah Nielsen              Douvan              1464  4       181     Bot
71st      Szabolcs Nagy                 YES                 1353  2       180     Bot
72nd      Edgars Krūmiņš                Independent         1411  3       180     Bot
73rd      Yahya Krishnan                Independent         1276  3       179     Bot
74th      Ianto Bennett                 Independent         1289  2       178     Bot
75th      Rusty White                   Dashix              1553  4       178     Bot
76th      Borys Nesterenko              Meisterkuhl         1511  4       178     Bot
77th      Pierre Mba                    Independent         1141  3       177     Bot
78th      Otso Lappalainen              Independent         1192  3       177     Bot
79th      Arjan Huisman                 Hector              1170  2       175     Bot
80th      Christodoulos Constantinides  eVOX                1418  3       175     Bot
81st      Elvis Noble                   Pioma               1229  3       174     Bot
